topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
GUNTHREAT,Moderate,1.0,0.5998,0.0,1,0.0011,0.0,0.002,Legal,Economic,Economic
CRIMEVICTIM,Independent,1.0,0.5569,0.0,1,0.0028,0.0,0.0029,Legal,Economic,Economic
MARGUN,Independent,1.0,0.7662,0.0,1,0.0005,0.0007,0.0016,Legal,Economic,Economic
GUNASSOCIATIONA,Republican,1.0,0.5946,0.0,1,0.005,0.0048,0.0066,Legal,Economic,Economic
GUNACTIVITY,Republican,0.6,0.514,0.0,5,0.004,0.0013,0.006,Legal,Economic,Economic
CAREREL,Conservative,1.0,0.866,0.0,1,0.0022,0.0005,0.0022,Legal,Economic,Economic
INDUSTRY,None,0.0,,0.0,1,0.0042,0.007,0.0139,Legal,Economic,Economic
PREDICT,Liberal,0.5,0.8234,0.25,4,0.0018,0.004,0.0022,IT_System,IT_System,IT_System
CARS,Liberal,0.3529,0.8169,0.1176,17,0.0017,0.0022,0.0013,IT_System,IT_System,IT_System
WORK,Independent,0.5385,0.7812,0.0769,13,0.0059,0.0063,0.0041,IT_System,IT_System,IT_System
ROBJOB,Liberal,0.3478,0.854,0.8261,23,0.0011,0.0013,0.0011,IT_System,IT_System,IT_System
CAREGIV,Republican,0.4167,0.8477,0.5833,12,0.0029,0.0052,0.0037,IT_System,IT_System,IT_System
HIRING,Democrat,0.3636,0.7886,0.2727,11,0.0017,0.0023,0.0026,Legal,IT_System,IT_System
VOICE,Independent,0.4286,0.8314,0.1429,7,0.0018,0.0015,0.0017,Economic,IT_System,IT_System
DRONE,Independent,0.4286,0.7237,0.0,7,0.0046,0.0038,0.0034,Economic,IT_System,IT_System
PERSDISCR,Democrat,1.0,0.8123,0.0,1,0.0002,0.0017,0.0,IT_System,Economic,Economic
NOWSMK_NHIS,Moderate,1.0,0.8246,0.0,1,0.0019,0.001,0.0012,Economic,Economic,Economic
BLOODPR,Republican,1.0,0.7614,0.0,1,0.0077,0.0001,0.0019,Economic,IT_System,IT_System
DIFF,Liberal,0.8,0.6911,0.2,5,0.0001,0.0009,0.0001,IT_System,Economic,Economic
MASC,Tie,0.5,0.7876,0.0,4,0.0009,0.0022,0.0007,IT_System,IT_System,IT_System
FEM,Tie,0.25,0.7264,0.0,4,0.0009,0.0036,0.0005,IT_System,IT_System,IT_System
GOODJOBS,Republican,1.0,0.798,0.0,1,0.0004,0.0069,0.0,IT_System,Economic,Economic
HELPHURT,Conservative,0.4286,0.8045,0.5714,7,0.0008,0.0015,0.0006,IT_System,IT_System,IT_System
TRANSGEND,Moderate,0.6667,0.8988,0.0,3,0.0009,0.0013,0.0002,IT_System,IT_System,IT_System
SEENMASC,Republican,1.0,0.8685,0.0,1,0.0063,0.0017,0.0036,Economic,IT_System,IT_System
SEENFEM,Republican,1.0,0.8907,0.0,1,0.0084,0.0029,0.0052,Economic,IT_System,IT_System
MA,Democrat,0.6667,0.7948,0.0,6,0.0022,0.0033,0.0013,IT_System,Economic,Economic
MESUM,Conservative,0.3333,0.7998,0.0,12,0.0041,0.0037,0.0073,Legal,IT_System,IT_System
TRAITS,Tie,0.3333,0.8352,0.0,6,0.0082,0.0052,0.0068,Economic,Economic,Economic
BOYSF,Liberal,0.5,0.6933,0.5,4,0.0045,0.0019,0.005,Legal,Economic,Economic
GIRLSF,Republican,1.0,0.6818,0.25,4,0.0022,0.0009,0.0029,Legal,Economic,Economic
SPOUSESEX,Tie,0.5,0.6461,0.0,2,0.0007,0.0018,0.0012,IT_System,IT_System,IT_System
HOOD_NHIS,Moderate,0.6667,0.8606,0.0,3,0.0049,0.0038,0.0039,Economic,IT_System,IT_System
LOCALELECT,Moderate,1.0,0.7618,0.0,1,0.0033,0.0041,0.0028,IT_System,Economic,Economic
PARTICIPATE,Tie,0.3333,0.6237,0.3333,3,0.0016,0.0006,0.0008,Economic,IT_System,IT_System
S,Tie,0.3333,0.7481,0.3333,3,0.0049,0.0011,0.0037,Economic,IT_System,IT_System
TALK_CPS,Democrat,1.0,0.9497,0.0,1,0.0055,0.0017,0.0055,Legal,Economic,Economic
FAVORS_CPS,Republican,1.0,0.7125,0.0,1,0.0055,0.0009,0.0066,Legal,Economic,Economic
WORRYRET,Republican,1.0,0.9479,0.0,1,0.0021,0.0002,0.0018,Economic,Economic,Economic
WORRYBILL,Moderate,1.0,0.8766,0.0,1,0.0014,0.0007,0.0036,Legal,Economic,Economic
GOPDIRCT,Liberal,1.0,0.8977,0.0,1,0.0023,0.0028,0.0027,IT_System,Economic,Economic
DEMDIRCT,Moderate,1.0,0.8422,0.0,1,0.0016,0.003,0.0022,IT_System,Economic,Economic
SATLIFE,Democrat,0.4444,0.8695,0.0,9,0.0017,0.0002,0.0021,Legal,IT_System,IT_System
SOCTRUST,Moderate,0.75,0.8426,0.0,4,0.0015,0.0009,0.0009,Economic,Economic,Economic
COMMYRS,Liberal,1.0,0.7083,0.0,1,0.0014,0.0013,0.002,Legal,Economic,Economic
COMATTACH,Independent,1.0,0.8899,0.0,1,0.0012,0.0001,0.0009,Economic,Economic,Economic
FEEL,Tie,0.5,0.8333,0.0,4,0.0016,0.0016,0.002,Legal,Economic,Economic
INC,Moderate,1.0,0.9657,0.0,1,0.0002,0.0006,0.0003,IT_System,Economic,Economic
INCFUTURE,Liberal,1.0,0.9077,0.0,1,0.0,0.0,0.0,Economic,Economic,Economic
COMMIMP,Tie,0.375,0.8576,0.0,8,0.0028,0.0003,0.0019,Economic,IT_System,IT_System
FAMNEAR,Democrat,1.0,0.908,0.0,1,0.0018,0.0006,0.0014,Economic,Economic,Economic
SUCCESSIMP,Democrat,0.5,0.6609,0.0,4,0.0005,0.0006,0.0013,Legal,IT_System,IT_System
FEDSHARE,Tie,0.3333,0.8604,0.0,3,0.0,0.0036,0.0007,IT_System,Economic,Economic
LOCALPROB,Moderate,0.4545,0.8628,0.0,11,0.0009,0.002,0.0004,IT_System,IT_System,IT_System
LOCALPROBL_F,Democrat,1.0,0.9153,0.0,1,0.0015,0.0031,0.0009,IT_System,Economic,Economic
LOCALPROBM_F,Democrat,1.0,0.9366,0.0,1,0.0003,0.0005,0.0007,Legal,Economic,Economic
JOBSFUTURE,Liberal,1.0,0.9522,0.0,1,0.0008,0.0031,0.001,IT_System,Economic,Economic
HARASS,Tie,0.3684,0.8169,0.4211,19,0.0011,0.001,0.0007,Economic,IT_System,Legal
GROWUPNEAR,Conservative,1.0,0.8134,0.0,1,0.0,0.0001,0.0,IT_System,IT_System,IT_System
LIFELOC,Republican,1.0,0.913,0.0,1,0.0001,0.0,0.0005,Legal,Economic,Economic
VALUEURBAN,Independent,1.0,0.865,0.0,1,0.0007,0.0031,0.0008,IT_System,Economic,Economic
VALUESUBURB,Independent,1.0,0.852,0.0,1,0.0007,0.0014,0.0002,IT_System,Economic,Economic
VALUERURAL,Moderate,1.0,0.9013,0.0,1,0.0006,0.0023,0.0006,IT_System,Economic,Economic
NEIGHKNOW,Republican,1.0,0.824,0.0,1,0.0012,0.0013,0.0015,Legal,Economic,Economic
NEIGHINTER,Conservative,0.75,0.5972,0.0,4,0.005,0.0014,0.0056,Legal,IT_System,IT_System
NEIGHKEYS,Moderate,1.0,0.8046,0.0,1,0.0,0.0009,0.0003,IT_System,Economic,Economic
NEIGHKIDS,Moderate,1.0,0.8796,0.0,1,0.0029,0.0002,0.001,Economic,IT_System,IT_System
NEIGHSAME,Tie,0.3333,0.8956,0.0,3,0.0019,0.0006,0.004,Legal,IT_System,IT_System
IMMCOMM,Conservative,1.0,0.8348,0.0,1,0.0006,0.002,0.0023,Legal,IT_System,IT_System
IMMIMPACT,Republican,1.0,0.814,0.0,1,0.0011,0.0027,0.0004,IT_System,IT_System,IT_System
GROWUPUSR,Democrat,1.0,0.8916,0.0,1,0.0029,0.0005,0.0036,Legal,Economic,Economic
COMTYPE,Democrat,1.0,0.8953,0.0,1,0.0007,0.0005,0.0034,Legal,Economic,Economic
CITYSIZE,Liberal,1.0,0.9699,0.0,1,0.0003,0.0006,0.0003,IT_System,Economic,Economic
SUBURBNEAR,Democrat,1.0,0.9116,0.0,1,0.0002,0.0018,0.0001,IT_System,Economic,Economic
PROBURBAN,Moderate,1.0,0.858,0.0,1,0.0016,0.0015,0.0022,Legal,IT_System,IT_System
PROBSUBURB,Moderate,1.0,0.8503,0.0,1,0.0016,0.0017,0.0028,Legal,IT_System,Economic
PROBRURAL,Democrat,1.0,0.8869,0.0,1,0.0017,0.002,0.0029,Legal,IT_System,IT_System
WANTMOVE,Moderate,1.0,0.9569,0.0,1,0.0005,0.002,0.0013,IT_System,Economic,Economic
WILLMOVE,Independent,1.0,0.9748,0.0,1,0.0015,0.0007,0.001,Economic,Economic,Economic
MOVEURBAN,Moderate,1.0,0.9723,0.0,1,0.0012,0.0015,0.0027,Legal,Economic,Economic
MOVESUBURB,Independent,1.0,0.9343,0.0,1,0.0015,0.0015,0.003,Legal,Economic,Economic
MOVERURAL,Democrat,1.0,0.928,0.0,1,0.0011,0.0014,0.0028,Legal,Economic,Economic
ETHNCMAJ,Republican,1.0,0.8561,1.0,1,0.0018,0.0002,0.0012,Economic,Economic,Economic
IMMCULT,Moderate,1.0,0.9809,0.0,1,0.0004,0.0014,0.0005,IT_System,Economic,Economic
MARRFAM,Tie,0.5,0.9213,0.0,2,0.0012,0.0024,0.0002,IT_System,IT_System,IT_System
ECONFAIR,Republican,0.6667,0.7247,0.0,3,0.0018,0.0036,0.0011,IT_System,IT_System,IT_System
WOMENOPPS,Independent,1.0,0.9414,0.0,1,0.0,0.0017,0.0,IT_System,IT_System,Economic
GOVT_ROLE,Independent,1.0,0.968,0.0,1,0.0002,0.0018,0.0003,IT_System,Economic,Economic
WHADVANT,Independent,1.0,0.9488,0.0,2,0.0004,0.0034,0.0004,IT_System,IT_System,IT_System
GAYMARR,Moderate,1.0,0.8976,0.0,1,0.0072,0.0009,0.0075,Legal,IT_System,IT_System
ABORTION,Independent,1.0,0.9597,0.0,1,0.001,0.0026,0.0,IT_System,Economic,Economic
ABORTIONRESTR,Democrat,1.0,0.8643,0.0,1,0.0001,0.0008,0.0002,IT_System,Economic,Economic
ABORTIONALLOW,Republican,1.0,0.7963,0.0,1,0.0003,0.0006,0.0006,IT_System,Economic,Economic
CLASS,Liberal,1.0,0.8318,0.0,1,0.0013,0.0014,0.0029,Legal,IT_System,Legal
MISINF,Tie,0.5,0.9152,0.0,2,0.0011,0.0009,0.0016,Legal,IT_System,IT_System
SC,Republican,0.4583,0.768,0.0417,24,0.0008,0.0039,0.0011,IT_System,IT_System,IT_System
EAT,Republican,0.3571,0.8126,0.0714,14,0.0023,0.0018,0.0014,Economic,IT_System,IT_System
FUD,Conservative,0.5,0.8677,0.1,10,0.002,0.0019,0.0016,Economic,IT_System,IT_System
MED,Liberal,0.3158,0.7636,0.2105,19,0.0009,0.0014,0.0009,IT_System,IT_System,IT_System
BIOTECH,Liberal,0.6,0.807,0.0,5,0.0028,0.0019,0.002,Economic,IT_System,IT_System
EVOONE,Republican,1.0,0.7975,1.0,1,0.0,0.0007,0.0,IT_System,Economic,IT_System
EVOTWO,Republican,1.0,0.9512,0.0,1,0.0009,0.0001,0.0019,Legal,Economic,Economic
EVOTHREE,Republican,1.0,0.8644,0.0,1,0.001,0.0005,0.0017,Legal,Legal,Economic
EVOPERS,Tie,0.5,0.8119,0.5,2,0.0007,0.0005,0.0006,Economic,IT_System,IT_System
EVOBIO,Tie,0.5,0.7357,0.5,2,0.0022,0.0038,0.0022,IT_System,Economic,Economic
BIO,Moderate,1.0,0.8953,0.0,1,0.0012,0.0068,0.0007,IT_System,IT_System,Economic
G,Tie,0.5,0.8737,0.5,2,0.0028,0.0008,0.0019,Economic,IT_System,Economic
HAPPYLIFE,Republican,1.0,0.8225,0.0,1,0.0005,0.0015,0.0009,IT_System,Economic,Economic
ESSENPOLF,Conservative,0.3333,0.6927,0.0,9,0.0002,0.0004,0.0007,Legal,Legal,IT_System
ESSENBIZF,Republican,0.3333,0.6909,0.0833,12,0.0009,0.0008,0.0028,Legal,IT_System,Economic
STYLE,Tie,0.5,0.71,0.5,2,0.0006,0.0013,0.0012,IT_System,IT_System,IT_System
AMNTWMNPF,Republican,1.0,0.6302,0.0,1,0.0007,0.0076,0.0016,IT_System,Economic,Economic
AMNTWMN,Tie,0.5,0.8099,0.5,2,0.0042,0.0007,0.0038,Economic,Economic,Economic
AMNTWMNBF,Republican,1.0,0.6379,0.0,1,0.0004,0.0046,0.0013,IT_System,Legal,Economic
EASIERBIZF,Republican,1.0,0.7777,0.0,1,0.0017,0.0118,0.0034,IT_System,IT_System,IT_System
EASIERPOLF,Republican,1.0,0.7437,0.0,1,0.0009,0.0087,0.0016,IT_System,IT_System,Legal
EQUALPOLF,Republican,1.0,0.9435,0.0,1,0.001,0.0001,0.0,Economic,Economic,Economic
EQUALBIZF,Republican,1.0,0.9864,0.0,1,0.0005,0.0009,0.0003,IT_System,Legal,Economic
IMPROVE,Independent,0.6667,0.8855,0.0,3,0.0004,0.0023,0.0005,IT_System,Economic,Economic
WHYNOTPOLF,Republican,0.5,0.8482,0.1667,12,0.0008,0.0007,0.0009,Legal,IT_System,Economic
WHYNOTBIZF,Republican,0.5714,0.8393,0.5714,14,0.0021,0.0026,0.0006,IT_System,Economic,Economic
HIGHED,Democrat,1.0,0.8126,0.0,1,0.0016,0.0,0.0021,Legal,Economic,Economic
HIGHEDWRNG,Liberal,0.6,0.8391,0.2,5,0.0003,0.0017,0.0004,IT_System,IT_System,IT_System
BETTERPOL,Republican,0.5333,0.7424,0.0667,15,0.0047,0.0017,0.0037,Economic,IT_System,IT_System
BETTERBIZ,Republican,0.4444,0.7647,0.0556,18,0.0026,0.0016,0.0016,Economic,IT_System,IT_System
TRAITPOLWF,Tie,0.2857,0.7286,0.0,7,0.0028,0.0007,0.0029,Legal,Legal,Economic
TRAITPOLMF,Tie,0.2857,0.6714,0.0,7,0.0019,0.0011,0.0018,Economic,Economic,Legal
POLCHF,Independent,1.0,0.8342,0.0,1,0.0013,0.0001,0.001,Economic,Economic,Economic
TRAITBIZWF,Liberal,0.5714,0.7181,0.0,7,0.0042,0.0011,0.0043,Legal,Economic,Economic
TRAITBIZMF,Tie,0.2857,0.6529,0.0,7,0.0038,0.002,0.0032,Economic,Economic,IT_System
EXECCHF,Republican,1.0,0.865,0.0,1,0.0016,0.0005,0.002,Legal,Economic,IT_System
WMNPRZ,Republican,1.0,0.8109,0.0,1,0.0013,0.003,0.0019,IT_System,IT_System,IT_System
MOREWMN,Independent,0.5,0.8342,0.0,4,0.0005,0.0007,0.0009,Legal,IT_System,Economic
COLSPEECH,Democrat,1.0,0.6108,1.0,1,0.0001,0.0033,0.0005,IT_System,Economic,Economic
E,Tie,0.5,0.9261,0.0,2,0.0012,0.0028,0.0003,IT_System,Economic,Economic
EARN,Republican,1.0,0.8927,0.0,1,0.0005,0.0021,0.0005,IT_System,Economic,Economic
FERTIL,Liberal,1.0,0.8047,0.0,1,0.011,0.0,0.006,Economic,Economic,Economic
OPTIMIST,Independent,1.0,0.8678,0.0,1,0.0037,0.0081,0.0048,IT_System,IT_System,Economic
AVGFAM,Republican,1.0,0.8576,0.0,1,0.0003,0.0014,0.0002,IT_System,IT_System,Economic
HAPPEN,Democrat,0.2778,0.8522,0.0,18,0.001,0.0029,0.0018,IT_System,IT_System,IT_System
NATDEBT,Republican,1.0,0.7458,0.0,1,0.0016,0.0086,0.0019,IT_System,Economic,Economic
ENVC,Republican,1.0,0.8461,0.0,1,0.0021,0.001,0.0029,Legal,IT_System,IT_System
POPPROB,Republican,1.0,0.8534,0.0,1,0.0003,0.0022,0.0011,IT_System,Economic,Economic
FTRWORRY,Republican,0.3333,0.828,0.0,6,0.0023,0.0007,0.0024,Legal,IT_System,IT_System
ELDCARE,Conservative,1.0,0.6908,0.0,1,0.0001,0.0026,0.0005,IT_System,Economic,Economic
ELDFINANCEF,None,0.0,,1.0,2,0.0015,0.0005,0.0002,Economic,IT_System,Economic
GOVPRIO,Republican,0.3333,0.8284,0.4667,15,0.0008,0.0005,0.002,Legal,IT_System,Legal
WRKTRN,None,0.0,,0.0,2,0.0006,0.0016,0.0008,IT_System,IT_System,Economic
JOBSECURITY,Republican,1.0,0.7917,0.0,1,0.0007,0.0001,0.0001,Economic,Economic,Economic
JOBBENEFITS,Republican,1.0,0.9126,0.0,1,0.0007,0.0001,0.0001,Economic,Legal,Economic
AUTOWKPLC,Independent,1.0,0.964,0.0,1,0.0039,0.0033,0.0042,Legal,Economic,Economic
ROBWRK,Liberal,1.0,0.8405,0.0,2,0.0006,0.0041,0.0007,IT_System,Economic,Economic
AUTOLKLY,Moderate,1.0,0.8504,0.0,1,0.0001,0.0077,0.0,IT_System,Economic,Economic
ROBIMPACT,Republican,1.0,0.799,0.5,2,0.0,0.0008,0.0007,IT_System,IT_System,IT_System
LEGALIMG,Conservative,1.0,0.8844,0.0,1,0.0008,0.0034,0.001,IT_System,IT_System,IT_System
FUTRCLASS,Republican,0.6667,0.8382,0.0,3,0.006,0.004,0.0027,Economic,Economic,Economic
ETHNCMAJMOD,Independent,1.0,0.8812,0.0,1,0.0041,0.0016,0.0033,Economic,Legal,Economic
AGEMAJ,Democrat,1.0,0.8333,0.0,1,0.0036,0.0011,0.0037,Legal,Legal,Economic
INTRMAR,Moderate,1.0,0.8899,0.0,1,0.0038,0.0015,0.0046,Legal,Legal,Economic
SSMONEY,Democrat,1.0,0.812,0.0,1,0.0013,0.0007,0.0003,Economic,IT_System,Legal
SSCUT,Independent,1.0,0.7397,0.0,1,0.0,0.0,0.0,Legal,Economic,IT_System
FUTR_ABR,Republican,1.0,0.8425,0.0,1,0.0027,0.0064,0.0028,IT_System,IT_System,Legal
FUTR_DIV,Democrat,1.0,0.8376,0.0,1,0.0018,0.0023,0.002,IT_System,IT_System,Economic
FUTR_,Moderate,1.0,0.8282,0.0,2,0.0018,0.0027,0.0013,IT_System,Economic,Economic
SOLVPROB,Moderate,0.3333,0.8462,0.0,9,0.0099,0.0028,0.006,Economic,Economic,Economic
PAST,Moderate,1.0,0.6986,0.0,1,0.0118,0.011,0.0136,Legal,Economic,Economic
FUTURE,Independent,1.0,0.7112,0.0,1,0.0096,0.0105,0.0101,IT_System,IT_System,Economic
CONF,Moderate,0.375,0.8456,0.0,8,0.0014,0.0003,0.0017,Legal,Economic,IT_System
POLICY,Conservative,0.5,0.7579,0.5,4,0.0006,0.0001,0.0002,Economic,IT_System,IT_System
RQ,Republican,0.2667,0.8129,0.0444,45,0.0019,0.0015,0.002,Legal,IT_System,IT_System
P,Tie,0.2281,0.8171,0.0175,57,0.0016,0.0015,0.0018,Legal,IT_System,IT_System
Q,Tie,0.375,0.7779,0.0,8,0.0004,0.0001,0.0002,Economic,IT_System,IT_System
PO,Liberal,0.5,0.8516,0.5,4,0.0016,0.0023,0.002,IT_System,Economic,Economic
RACESURV,Conservative,0.2079,0.8301,0.3069,101,0.003,0.003,0.0028,IT_System,IT_System,IT_System
ADMISSION,Democrat,0.75,0.7353,0.0,8,0.0022,0.0009,0.0024,Legal,IT_System,IT_System
RACATTN,Conservative,1.0,0.7812,1.0,1,0.0097,0.0053,0.0126,Legal,Economic,Economic
IDIMPORT,Liberal,0.6,0.9039,0.0,5,0.0039,0.0009,0.0044,Legal,Economic,Economic
NEWS_PLATFORM,Tie,0.5,0.9034,0.0,2,0.0006,0.0024,0.0023,IT_System,IT_System,Economic
NEWSPREFV,None,0.0,,0.0,1,0.0042,0.0087,0.0038,IT_System,Economic,Economic
SOURCESKEP,Tie,0.4,0.819,0.0,5,0.0015,0.0008,0.0011,Economic,IT_System,IT_System
INFOCONFUSE,Tie,0.4,0.7864,0.4,5,0.0062,0.0056,0.0064,Legal,Economic,Economic
INFOKNOW,Democrat,0.4,0.8959,0.6,5,0.0051,0.0093,0.0035,IT_System,Economic,IT_System
INFOOWN,Moderate,0.6,0.8816,0.2,5,0.0035,0.0087,0.0054,IT_System,Economic,Economic
MEDIALOYAL,Republican,1.0,0.9844,1.0,1,0.0004,0.0007,0.0,IT_System,Economic,Economic
LEAD,Liberal,1.0,0.9598,0.0,1,0.0007,0.0,0.0006,Economic,Economic,Economic
SEEK,Moderate,1.0,0.8157,0.0,1,0.0009,0.0005,0.0018,Legal,Economic,Economic
INFORESTRICT,Republican,0.4,0.8174,0.4,5,0.0006,0.0001,0.0006,Economic,Economic,Economic
INFOWHY,Moderate,0.5,0.7425,0.0,4,0.0011,0.0005,0.001,Economic,IT_System,Economic
INFOCREATE,Democrat,0.4,0.7854,0.0,5,0.0013,0.0009,0.0018,Legal,IT_System,IT_System
MADEUPOFT,Democrat,1.0,0.772,0.0,1,0.0041,0.0009,0.0038,Economic,IT_System,Economic
MADEUPSHARE,Tie,0.5,0.7348,0.0,2,0.0005,0.0001,0.0008,Legal,Economic,Economic
MADEUPSHAREWHY,None,0.0,,0.0,1,0.0016,0.0011,0.0004,Economic,IT_System,IT_System
MADEUPTOPIC,Democrat,0.5,0.7744,0.0,6,0.0023,0.0024,0.0026,Legal,IT_System,IT_System
MADEUPLEVEL,Tie,0.5,0.7976,0.0,2,0.0054,0.0027,0.0046,Economic,IT_System,IT_System
MADEUPRES,Tie,0.4,0.8153,0.0,5,0.0012,0.0018,0.0011,IT_System,IT_System,IT_System
MADEUPIMP,Moderate,0.8,0.78,0.0,5,0.0067,0.0041,0.005,Economic,IT_System,IT_System
MADEUPDIS,Moderate,1.0,0.8737,0.0,1,0.0032,0.0008,0.0027,Economic,Economic,Economic
DISAVOID,Liberal,1.0,0.9125,0.0,1,0.0,0.0004,0.0,IT_System,Economic,Economic
SMSHARER,Democrat,1.0,0.4229,0.0,1,0.0009,0.0002,0.0001,Economic,Economic,Economic
SMLIKES,Moderate,0.5,0.8616,0.0,6,0.0056,0.0022,0.0057,Legal,IT_System,IT_System
SMSHARE,Democrat,1.0,0.8256,0.0,1,0.0023,0.0003,0.0011,Economic,Economic,Economic
MADEUPSMCLICK,Conservative,1.0,0.8522,0.0,1,0.0035,0.0012,0.0031,Economic,IT_System,IT_System
MADEUPSMFOL,Tie,0.5,0.8964,0.0,2,0.0004,0.0022,0.0007,IT_System,Economic,Economic
ONLINESOURCE,Moderate,1.0,0.8354,0.0,1,0.0004,0.001,0.0008,IT_System,Economic,Economic
DIGWDOG,Democrat,1.0,0.9784,1.0,1,0.0004,0.0012,0.0005,IT_System,IT_System,IT_System
NEWSPROB,Moderate,0.6,0.8454,0.2,5,0.0006,0.0004,0.0006,Economic,Economic,IT_System
VIDOFT,Democrat,1.0,0.852,0.0,1,0.0026,0.0007,0.0018,Economic,IT_System,IT_System
MADEUPSOLVE,Democrat,1.0,0.7046,0.0,1,0.0016,0.0067,0.0023,IT_System,Economic,Economic
INFOCHAL,Moderate,0.6,0.8211,0.0,5,0.0029,0.002,0.0016,Economic,Economic,Economic
RESTRICTWHO,None,0.0,,1.0,1,0.0058,0.0021,0.004,Economic,Economic,Economic
ACCCHECK,Conservative,1.0,0.8479,0.0,1,0.0025,0.0002,0.003,Legal,Economic,Legal
FCFAIR,Independent,1.0,0.9839,0.0,1,0.0003,0.0011,0.0,IT_System,Economic,Economic
WATCHDOG,Tie,0.5,0.6721,0.5,2,0.0015,0.0054,0.0008,IT_System,IT_System,IT_System
SNSUSE,Conservative,1.0,0.7738,0.0,1,0.0003,0.0077,0.001,IT_System,Economic,Economic
SOCMEDIAUSE,Liberal,0.75,0.6942,0.0,4,0.0001,0.0016,0.0003,IT_System,Economic,Economic
ELECTFTGSNSINT,Democrat,1.0,0.8811,1.0,1,0.001,0.0007,0.0009,Economic,IT_System,Economic
TALKDISASNSINT,Moderate,1.0,0.6092,0.0,1,0.0001,0.0004,0.0001,IT_System,Economic,Economic
TALKCMNSNSINT,Moderate,1.0,0.6876,0.0,1,0.0005,0.0,0.0001,Economic,IT_System,IT_System
SECUR,Republican,1.0,0.5096,0.0,1,0.0038,0.0095,0.0064,IT_System,IT_System,IT_System
