topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
PROFILE,Liberal,1.0,0.7641,0.0,6
DATAUSE,Republican,0.5,0.6909,0.1667,18
FACE,Republican,0.5455,0.6606,0.2727,33
DB,Democrat,0.3333,0.3765,0.0,9
FAMSURV,Republican,0.3085,0.6025,0.2553,282
MOTHER,Liberal,1.0,0.629,1.0,3
FATHER,Liberal,1.0,0.4846,1.0,3
SIB,Liberal,1.0,0.7046,0.0,3
REMARR,Republican,1.0,0.3233,1.0,3
ENG,Moderate,1.0,0.1178,0.0,3
LWPT,Independent,1.0,0.3273,0.0,3
ADKIDS,Moderate,1.0,0.3744,0.0,3
PAR,Conservative,0.25,0.4673,0.0,12
ROMRELDUR,Liberal,1.0,0.5338,0.0,3
MARRDUR,Liberal,1.0,0.3637,0.0,3
COHABDUR,Democrat,1.0,0.7511,0.0,3
LWPSP,Liberal,1.0,0.5832,0.0,3
ROMRELSER,Liberal,1.0,0.8931,0.0,3
MARRYPREF,Republican,1.0,0.6195,0.0,6
HAVEKIDS,Liberal,1.0,0.6549,0.0,3
DNA,Independent,0.5,0.4366,0.125,24
ORIENTATIONMOD,Liberal,1.0,0.7758,0.0,3
FIN_SIT,Republican,1.0,0.7974,0.0,3
FIN_SITFUT,Conservative,1.0,0.7733,1.0,3
FIN_SITMOST,Republican,1.0,0.5802,0.0,3
FIN_SITCOMM,Republican,1.0,0.759,0.0,3
FIN_SITGROWUP,Liberal,1.0,0.8078,0.0,3
JOBTRAIN,Liberal,1.0,0.8353,0.0,3
GOVPRIORITY,Democrat,0.5,0.8745,0.0,18
GOVRESP,Democrat,0.75,0.5983,0.0,24
ECON,Republican,0.4839,0.6792,0.0645,93
INEQ,Democrat,0.4444,0.7539,0.0833,108
ECIMP,Democrat,0.4,0.728,0.0,30
FINANCE,Republican,0.6667,0.6837,1.0,9
DEBT,Moderate,0.4,0.4525,0.0,15
BENEFITS,Moderate,0.6667,0.2018,0.0,9
WORKHARD,Republican,1.0,0.6408,0.0,3
POOREASY,Republican,1.0,0.5753,0.0,3
GAP,Democrat,0.4135,0.7159,0.1827,312
LIFEFIFTY,Democrat,1.0,0.7621,0.0,3
BIGHOUSES,Republican,1.0,0.7152,0.0,3
INSTN_CHR,Republican,1.0,0.7714,0.0,3
INSTN_CLGS,Democrat,1.0,0.6552,0.0,3
INSTN_LGECRP,Republican,1.0,0.4177,1.0,3
INSTN_MSCENT,Democrat,1.0,0.3768,0.0,3
INSTN_LBRUN,Liberal,1.0,0.6612,0.0,3
INSTN_K,Democrat,1.0,0.6948,0.0,3
INSTN_BNKS,Republican,1.0,0.7814,0.0,3
INSTN_TECHCMP,Democrat,1.0,0.6217,1.0,3
DIFFPARTY,Republican,1.0,0.913,0.0,3
GOVSIZE,Conservative,0.3333,0.576,0.0,9
USEXCEPT,Republican,1.0,0.6082,0.0,3
WOMENOBS,Republican,1.0,0.5788,0.0,3
OPENIDEN,Liberal,1.0,0.7287,0.0,3
VTRGHTPRIV,Liberal,1.0,0.613,0.0,3
ALLIES,Liberal,1.0,0.7781,0.0,3
PEACESTR,Republican,1.0,0.3968,0.0,3
GOVWASTE,Republican,1.0,0.5896,0.0,3
COMPROMISEVAL,Republican,1.0,0.3522,0.0,3
POORASSIST,Liberal,1.0,0.6802,0.0,3
SUPERPWR,Conservative,1.0,0.8258,0.0,3
IL_IMM_PRI,Republican,1.0,0.5833,0.0,3
BILLION,Liberal,1.0,0.3918,1.0,3
GLBLZE,Liberal,1.0,0.6438,0.0,3
FP_AUTH,Conservative,1.0,0.5728,0.0,3
GOVTHC,Liberal,1.0,0.6233,0.0,3
SNGLPYER,Liberal,1.0,0.5968,0.0,3
NOGOVTHC,Independent,1.0,0.2937,0.0,3
FREECOLL,Democrat,1.0,0.6796,0.0,3
CRIM_SENT,Liberal,1.0,0.6004,0.0,3
USMILSIZ,Liberal,1.0,0.5742,0.0,3
PROG_RRETRO,Republican,1.0,0.8186,0.0,3
PROG_RNEED,Democrat,0.5,0.6223,0.0,6
ELITEUNDMOD,Democrat,1.0,0.4566,0.0,3
POLINTOL,Conservative,0.5,0.8389,0.0,6
CANQUALPOL,Democrat,1.0,0.6053,0.0,3
CANMTCHPOL,Democrat,1.0,0.774,0.0,3
SOCIETY_TRANS,Liberal,1.0,0.7014,0.0,3
SOCIETY_RHIST,Democrat,1.0,0.8,0.0,3
SOCIETY_JBCLL,Moderate,1.0,0.6521,0.0,3
SOCIETY_RELG,Liberal,1.0,0.6018,1.0,3
SOCIETY_WHT,Democrat,1.0,0.6261,0.0,3
SOCIETY_GUNS,Republican,1.0,0.5556,0.0,3
SOCIETY_SSM,Liberal,1.0,0.7151,0.0,3
PROBOFF,Conservative,0.5,0.8594,1.0,6
BUSPROFIT,Democrat,1.0,0.7988,0.0,3
CNTRYFAIR,Liberal,1.0,0.537,0.0,3
GOVPROTCT,Conservative,1.0,0.4676,0.0,3
GOVAID,Republican,1.0,0.534,1.0,3
RELIG_GOV,Liberal,1.0,0.7798,0.0,3
GOODEVIL,Republican,1.0,0.5059,0.0,3
PPLRESP,Democrat,1.0,0.4689,0.0,3
ELECT_IMPT,Independent,0.5,0.8671,0.0,6
ELECT_CONF,Conservative,0.5,0.8109,0.0,6
CANDEXP,Democrat,1.0,0.7221,0.0,3
LEGALIMMIGAMT,Liberal,1.0,0.6819,0.0,3
UNIMMIGCOMM,Liberal,1.0,0.5988,0.0,3
GODMORALIMP,Republican,1.0,0.6539,0.0,3
REPRSNTREP,Republican,1.0,0.5938,0.0,3
REPRSNTDEM,Democrat,1.0,0.5926,0.0,3
VTRS_VALS,Moderate,1.0,0.511,0.0,3
