topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
DNATEST,Liberal,1.0,0.2404,1.0,2
TRACKCO,Liberal,1.0,0.7681,0.0,2
CONCERNCO,Independent,1.0,0.8132,0.0,1
BENEFITCO,Democrat,1.0,0.5119,0.0,1
CONTROLCO,Liberal,1.0,0.4005,0.0,1
UNDERSTANDCO,Liberal,1.0,0.5091,0.0,1
POSNEGCO,Democrat,1.0,0.2442,0.0,1
ANONYMOUS,Independent,0.5,0.4353,1.0,2
TRACKGOV,Independent,1.0,0.6372,0.5,2
CONCERNGOV,Independent,1.0,0.6992,0.0,1
BENEFITGOV,Democrat,1.0,0.5043,0.0,1
CONTROLGOV,Democrat,1.0,0.3497,0.0,1
UNDERSTANDGOV,Independent,1.0,0.3799,0.0,1
POSNEGGOV,Liberal,1.0,0.3735,0.0,1
CONCERNGRP,Democrat,0.6667,0.5863,0.1667,6
CONTROLGRP,Democrat,0.5,0.5225,0.6667,6
PRIVACYREG,Moderate,1.0,0.4764,0.0,1
GOVREGV,Moderate,0.5,0.7633,0.5,2
SHARE,Independent,1.0,0.5758,1.0,1
PWMAN,Liberal,1.0,0.5014,0.0,2
SMARTPHONE,Liberal,1.0,0.9517,0.0,1
SMARTAPP,Democrat,1.0,0.8648,0.0,1
PUBLICDATA,Democrat,1.0,0.2847,0.0,1
RTBF,Liberal,0.5,0.6787,0.0,4
RTD,Republican,0.5,0.7473,0.0,4
PROFILE,Liberal,1.0,0.7641,0.0,2
DATAUSE,Republican,0.5,0.6909,0.1667,6
FACE,Republican,0.5455,0.6606,0.2727,11
DB,Democrat,0.3333,0.3765,0.0,3
FAMSURV,Republican,0.3085,0.6025,0.2553,94
MOTHER,Liberal,1.0,0.629,1.0,1
FATHER,Liberal,1.0,0.4846,1.0,1
SIB,Liberal,1.0,0.7046,0.0,1
REMARR,Republican,1.0,0.3233,1.0,1
ENG,Moderate,1.0,0.1178,0.0,1
LWPT,Independent,1.0,0.3273,0.0,1
ADKIDS,Moderate,1.0,0.3744,0.0,1
PAR,Conservative,0.25,0.4673,0.0,4
ROMRELDUR,Liberal,1.0,0.5338,0.0,1
MARRDUR,Liberal,1.0,0.3637,0.0,1
COHABDUR,Democrat,1.0,0.7511,0.0,1
LWPSP,Liberal,1.0,0.5832,0.0,1
ROMRELSER,Liberal,1.0,0.8931,0.0,1
MARRYPREF,Republican,1.0,0.6195,0.0,2
HAVEKIDS,Liberal,1.0,0.6549,0.0,1
DNA,Independent,0.5,0.4366,0.125,8
ORIENTATIONMOD,Liberal,1.0,0.7758,0.0,1
FIN_SIT,Republican,1.0,0.7974,0.0,1
FIN_SITFUT,Conservative,1.0,0.7733,1.0,1
FIN_SITMOST,Republican,1.0,0.5802,0.0,1
FIN_SITCOMM,Republican,1.0,0.759,0.0,1
FIN_SITGROWUP,Liberal,1.0,0.8078,0.0,1
JOBTRAIN,Liberal,1.0,0.8353,0.0,1
GOVPRIORITY,Democrat,0.5,0.8745,0.0,6
GOVRESP,Democrat,0.75,0.5983,0.0,8
ECON,Republican,0.4839,0.6792,0.0645,31
INEQ,Democrat,0.4444,0.7539,0.0833,36
ECIMP,Democrat,0.4,0.728,0.0,10
FINANCE,Republican,0.6667,0.6837,1.0,3
DEBT,Moderate,0.4,0.4525,0.0,5
BENEFITS,Moderate,0.6667,0.2018,0.0,3
WORKHARD,Republican,1.0,0.6408,0.0,1
POOREASY,Republican,1.0,0.5753,0.0,1
GAP,Democrat,0.4135,0.7159,0.1827,104
LIFEFIFTY,Democrat,1.0,0.7621,0.0,1
BIGHOUSES,Republican,1.0,0.7152,0.0,1
INSTN_CHR,Republican,1.0,0.7714,0.0,1
INSTN_CLGS,Democrat,1.0,0.6552,0.0,1
INSTN_LGECRP,Republican,1.0,0.4177,1.0,1
INSTN_MSCENT,Democrat,1.0,0.3768,0.0,1
INSTN_LBRUN,Liberal,1.0,0.6612,0.0,1
INSTN_K,Democrat,1.0,0.6948,0.0,1
INSTN_BNKS,Republican,1.0,0.7814,0.0,1
INSTN_TECHCMP,Democrat,1.0,0.6217,1.0,1
DIFFPARTY,Republican,1.0,0.913,0.0,1
GOVSIZE,Conservative,0.3333,0.576,0.0,3
USEXCEPT,Republican,1.0,0.6082,0.0,1
WOMENOBS,Republican,1.0,0.5788,0.0,1
OPENIDEN,Liberal,1.0,0.7287,0.0,1
VTRGHTPRIV,Liberal,1.0,0.613,0.0,1
ALLIES,Liberal,1.0,0.7781,0.0,1
PEACESTR,Republican,1.0,0.3968,0.0,1
GOVWASTE,Republican,1.0,0.5896,0.0,1
COMPROMISEVAL,Republican,1.0,0.3522,0.0,1
POORASSIST,Liberal,1.0,0.6802,0.0,1
SUPERPWR,Conservative,1.0,0.8258,0.0,1
IL_IMM_PRI,Republican,1.0,0.5833,0.0,1
BILLION,Liberal,1.0,0.3918,1.0,1
GLBLZE,Liberal,1.0,0.6438,0.0,1
FP_AUTH,Conservative,1.0,0.5728,0.0,1
GOVTHC,Liberal,1.0,0.6233,0.0,1
SNGLPYER,Liberal,1.0,0.5968,0.0,1
NOGOVTHC,Independent,1.0,0.2937,0.0,1
FREECOLL,Democrat,1.0,0.6796,0.0,1
CRIM_SENT,Liberal,1.0,0.6004,0.0,1
USMILSIZ,Liberal,1.0,0.5742,0.0,1
PROG_RRETRO,Republican,1.0,0.8186,0.0,1
PROG_RNEED,Democrat,0.5,0.6223,0.0,2
ELITEUNDMOD,Democrat,1.0,0.4566,0.0,1
POLINTOL,Conservative,0.5,0.8389,0.0,2
CANQUALPOL,Democrat,1.0,0.6053,0.0,1
CANMTCHPOL,Democrat,1.0,0.774,0.0,1
SOCIETY_TRANS,Liberal,1.0,0.7014,0.0,1
SOCIETY_RHIST,Democrat,1.0,0.8,0.0,1
SOCIETY_JBCLL,Moderate,1.0,0.6521,0.0,1
SOCIETY_RELG,Liberal,1.0,0.6018,1.0,1
SOCIETY_WHT,Democrat,1.0,0.6261,0.0,1
SOCIETY_GUNS,Republican,1.0,0.5556,0.0,1
SOCIETY_SSM,Liberal,1.0,0.7151,0.0,1
PROBOFF,Conservative,0.5,0.8594,1.0,2
BUSPROFIT,Democrat,1.0,0.7988,0.0,1
CNTRYFAIR,Liberal,1.0,0.537,0.0,1
GOVPROTCT,Conservative,1.0,0.4676,0.0,1
GOVAID,Republican,1.0,0.534,1.0,1
RELIG_GOV,Liberal,1.0,0.7798,0.0,1
GOODEVIL,Republican,1.0,0.5059,0.0,1
PPLRESP,Democrat,1.0,0.4689,0.0,1
ELECT_IMPT,Independent,0.5,0.8671,0.0,2
ELECT_CONF,Conservative,0.5,0.8109,0.0,2
CANDEXP,Democrat,1.0,0.7221,0.0,1
LEGALIMMIGAMT,Liberal,1.0,0.6819,0.0,1
UNIMMIGCOMM,Liberal,1.0,0.5988,0.0,1
GODMORALIMP,Republican,1.0,0.6539,0.0,1
REPRSNTREP,Republican,1.0,0.5938,0.0,1
REPRSNTDEM,Democrat,1.0,0.5926,0.0,1
VTRS_VALS,Moderate,1.0,0.511,0.0,1
