topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat
HELPHURT,Conservative,0.4286,0.7231,1.0,7,0.0009,0.0002,0.001,Legal
TRANSGEND,Independent,0.6667,0.9683,0.0,3,0.0006,0.0009,0.0016,Legal
SEENMASC,Republican,1.0,0.9028,0.0,1,0.0021,0.0009,0.0018,Economic
SEENFEM,Moderate,1.0,0.9374,0.0,1,0.0018,0.001,0.002,Legal
MA,Democrat,0.8,0.8444,0.1667,6,0.0024,0.0003,0.0013,Economic
MESUM,Conservative,0.3333,0.8644,0.0,12,0.001,0.0003,0.0006,Economic
TRAITS,Democrat,0.3333,0.8336,0.0,6,0.0034,0.0038,0.0044,Legal
BOYSF,Conservative,0.5,0.8373,1.0,4,0.0009,0.0005,0.0005,Economic
GIRLSF,Independent,0.5,0.8014,1.0,4,0.0009,0.0004,0.0007,Economic
SPOUSESEX,Liberal,1.0,0.5773,0.0,2,0.0,0.0009,0.0,IT_System
HOOD_NHIS,Moderate,0.6667,0.8772,0.0,3,0.0079,0.008,0.0106,Legal
LOCALELECT,Moderate,1.0,0.8424,0.0,1,0.0021,0.0007,0.0024,Legal
PARTICIPATE,Democrat,0.3333,0.7271,0.3333,3,0.0009,0.0026,0.0007,IT_System
S,Independent,0.3333,0.7937,0.3333,3,0.003,0.0018,0.0021,Economic
TALK_CPS,Liberal,1.0,0.9343,0.0,1,0.0031,0.0022,0.0054,Legal
FAVORS_CPS,Republican,1.0,0.7355,0.0,1,0.002,0.0023,0.0033,Legal
WORRYRET,Republican,1.0,0.955,0.0,1,0.0016,0.0013,0.0027,Legal
WORRYBILL,Moderate,1.0,0.8666,0.0,1,0.002,0.0007,0.0027,Legal
GOPDIRCT,Liberal,1.0,0.9197,0.0,1,0.0006,0.0018,0.002,Legal
DEMDIRCT,Moderate,1.0,0.863,0.0,1,0.0008,0.0014,0.0024,Legal
SATLIFE,Liberal,0.6,0.8615,0.0,9,0.001,0.0004,0.0038,Legal
SOCTRUST,Moderate,0.75,0.8564,0.0,4,0.0014,0.0018,0.0017,IT_System
COMMYRS,Liberal,1.0,0.7265,0.0,1,0.0031,0.0004,0.0039,Legal
COMATTACH,Independent,1.0,0.886,0.0,1,0.0016,0.0009,0.0013,Economic
FEEL,Moderate,0.75,0.8214,0.0,4,0.0028,0.0011,0.002,Economic
INC,Moderate,1.0,0.8818,0.0,1,0.0012,0.0021,0.0021,IT_System
INCFUTURE,Democrat,1.0,0.9969,0.0,1,0.0001,0.0021,0.0008,IT_System
COMMIMP,Conservative,0.375,0.8435,0.0,8,0.0018,0.0003,0.0021,Legal
FAMNEAR,Independent,1.0,0.8397,0.0,1,0.0015,0.0003,0.0007,Economic
SUCCESSIMP,Democrat,0.25,0.6499,0.0,4,0.0005,0.0028,0.0008,IT_System
FEDSHARE,Democrat,0.3333,0.9078,0.0,3,0.0002,0.0001,0.0002,Legal
LOCALPROB,Moderate,0.3636,0.8673,0.0,11,0.0001,0.0014,0.0003,IT_System
LOCALPROBL_F,Liberal,1.0,0.9285,0.0,1,0.0,0.0021,0.0003,IT_System
LOCALPROBM_F,Democrat,1.0,0.925,0.0,1,0.0001,0.0015,0.0002,IT_System
JOBSFUTURE,Conservative,1.0,0.9154,0.0,1,0.0014,0.0011,0.0047,Legal
HARASS,Conservative,0.375,0.8778,0.3158,19,0.0006,0.0004,0.0005,Economic
GROWUPNEAR,Conservative,1.0,0.9473,0.0,1,0.0001,0.0003,0.0,IT_System
LIFELOC,Conservative,1.0,0.9987,0.0,1,0.0005,0.004,0.0005,IT_System
VALUEURBAN,Independent,1.0,0.9276,0.0,1,0.0007,0.0006,0.0006,Economic
VALUESUBURB,Independent,1.0,0.8592,0.0,1,0.0008,0.0006,0.0005,Economic
VALUERURAL,Democrat,1.0,0.911,0.0,1,0.0008,0.0006,0.0006,Economic
NEIGHKNOW,Republican,1.0,0.8047,0.0,1,0.0009,0.0029,0.0028,IT_System
NEIGHINTER,Conservative,0.75,0.6472,0.0,4,0.0026,0.0009,0.0025,Economic
NEIGHKEYS,Moderate,1.0,0.6366,0.0,1,0.001,0.007,0.003,IT_System
NEIGHKIDS,Moderate,1.0,0.8822,0.0,1,0.0005,0.001,0.0008,IT_System
NEIGHSAME,Democrat,0.3333,0.8755,0.0,3,0.0026,0.0015,0.002,Economic
IMMCOMM,Republican,1.0,0.8806,0.0,1,0.0008,0.0013,0.0006,IT_System
IMMIMPACT,Republican,1.0,0.8774,0.0,1,0.0017,0.0004,0.001,Economic
GROWUPUSR,Moderate,1.0,0.92,0.0,1,0.0001,0.0002,0.0004,Legal
COMTYPE,Democrat,1.0,0.9102,0.0,1,0.0001,0.0001,0.0003,Legal
CITYSIZE,Republican,1.0,0.8932,0.0,1,0.0006,0.0011,0.0011,Legal
SUBURBNEAR,Independent,1.0,0.832,0.0,1,0.0016,0.0003,0.002,Legal
PROBURBAN,Moderate,1.0,0.8579,0.0,1,0.0007,0.0003,0.001,Legal
PROBSUBURB,Moderate,1.0,0.8498,0.0,1,0.0006,0.0005,0.0008,Legal
PROBRURAL,Democrat,1.0,0.8782,0.0,1,0.0011,0.0003,0.0014,Legal
WANTMOVE,Moderate,1.0,0.9466,0.0,1,0.0009,0.0003,0.0012,Legal
WILLMOVE,Independent,1.0,0.9786,0.0,1,0.0008,0.0004,0.0006,Economic
MOVEURBAN,Moderate,1.0,0.9523,0.0,1,0.0005,0.0002,0.0005,Legal
MOVESUBURB,Independent,1.0,0.9604,0.0,1,0.0005,0.0003,0.0003,Economic
MOVERURAL,Democrat,1.0,0.9436,0.0,1,0.0004,0.0005,0.0002,IT_System
ETHNCMAJ,Liberal,1.0,0.7602,1.0,1,0.002,0.0003,0.0011,Economic
IMMCULT,Independent,1.0,0.9373,0.0,1,0.0004,0.0005,0.0004,IT_System
MARRFAM,Independent,1.0,0.9131,0.0,2,0.0,0.0002,0.001,Legal
ECONFAIR,Republican,1.0,0.7213,0.0,3,0.0,0.0017,0.0002,IT_System
WOMENOPPS,Independent,1.0,0.9414,0.0,1,0.0008,0.0009,0.0012,Legal
GOVT_ROLE,Moderate,1.0,0.9159,0.0,1,0.0007,0.0,0.0032,Legal
WHADVANT,Moderate,1.0,0.9565,0.0,2,0.0036,0.0004,0.0025,Economic
GAYMARR,Moderate,1.0,0.9419,0.0,1,0.0014,0.0002,0.001,Economic
ABORTION,Independent,1.0,0.9907,0.0,1,0.0002,0.0004,0.0002,IT_System
ABORTIONRESTR,Liberal,1.0,0.9596,0.0,1,0.0037,0.0008,0.0057,Legal
ABORTIONALLOW,Republican,1.0,0.8838,0.0,1,0.0029,0.0006,0.0046,Legal
CLASS,Liberal,1.0,0.86,0.0,1,0.0023,0.0012,0.0014,Economic
MISINF,Democrat,0.5,0.903,0.0,2,0.0013,0.0005,0.0029,Legal
SC,Independent,0.3333,0.7631,0.0833,24,0.0003,0.0002,0.0006,Legal
EAT,Conservative,0.2857,0.8827,0.0714,14,0.0006,0.0004,0.0006,Economic
FUD,Conservative,0.5,0.868,0.1,10,0.0008,0.0007,0.0009,Legal
MED,Democrat,0.2632,0.8044,0.4211,19,0.0005,0.0009,0.0006,IT_System
BIOTECH,Liberal,0.8,0.7904,0.0,5,0.001,0.0004,0.0011,Legal
EVOONE,Republican,1.0,0.7643,0.0,1,0.0013,0.0,0.002,Legal
EVOTWO,Republican,1.0,0.9451,0.0,1,0.0018,0.0003,0.0033,Legal
EVOTHREE,Moderate,1.0,0.8857,0.0,1,0.0003,0.0,0.0007,Legal
EVOPERS,Moderate,0.5,0.8293,0.5,2,0.0011,0.0002,0.0017,Legal
EVOBIO,Conservative,0.5,0.8012,1.0,2,0.001,0.0003,0.0017,Legal
BIO,Moderate,1.0,0.7736,0.0,1,0.0007,0.0002,0.0003,Economic
G,Independent,0.5,0.8643,0.5,2,0.0009,0.0006,0.0003,Economic
HAPPYLIFE,Republican,1.0,0.8137,0.0,1,0.007,0.0006,0.0078,Legal
ESSENPOLF,Conservative,0.3333,0.6877,0.0,9,0.0009,0.0017,0.001,IT_System
ESSENBIZF,Republican,0.3333,0.6889,0.0833,12,0.0009,0.0019,0.0009,IT_System
STYLE,Democrat,0.5,0.8002,0.5,2,0.0017,0.0004,0.0021,Legal
AMNTWMNPF,Independent,1.0,0.8391,0.0,1,0.0005,0.0002,0.0004,Economic
AMNTWMN,Conservative,0.5,0.7645,1.0,2,0.0005,0.001,0.0005,IT_System
AMNTWMNBF,Moderate,1.0,0.838,0.0,1,0.0003,0.0002,0.0004,Legal
EASIERBIZF,Republican,1.0,0.7836,0.0,1,0.0002,0.0003,0.001,Legal
EASIERPOLF,Republican,1.0,0.7899,0.0,1,0.0,0.0003,0.0006,Legal
EQUALPOLF,Republican,1.0,0.8855,1.0,1,0.0001,0.0005,0.0001,IT_System
EQUALBIZF,Republican,1.0,0.9864,0.0,1,0.0,0.0,0.0006,Legal
IMPROVE,Independent,0.6667,0.8981,0.0,3,0.0003,0.0002,0.0001,Economic
WHYNOTPOLF,Independent,0.25,0.8624,0.5,12,0.0018,0.0002,0.0021,Legal
WHYNOTBIZF,Liberal,0.3571,0.7606,0.9286,14,0.0096,0.0037,0.0111,Legal
HIGHED,Democrat,1.0,0.7615,0.0,1,0.0004,0.0003,0.0002,Economic
HIGHEDWRNG,Liberal,0.4,0.8537,0.4,5,0.002,0.001,0.0021,Legal
BETTERPOL,Liberal,0.4,0.7403,0.0,15,0.0012,0.0003,0.0017,Legal
BETTERBIZ,None,0.0,,0.0,18,,,,
TRAITPOLWF,None,0.0,,0.0,7,,,,
TRAITPOLMF,None,0.0,,0.0,7,,,,
POLCHF,None,0.0,,0.0,1,,,,
TRAITBIZWF,None,0.0,,0.0,7,,,,
TRAITBIZMF,None,0.0,,0.0,7,,,,
EXECCHF,None,0.0,,0.0,1,,,,
WMNPRZ,None,0.0,,0.0,1,,,,
MOREWMN,None,0.0,,0.0,4,,,,
COLSPEECH,None,0.0,,0.0,1,,,,
E,None,0.0,,0.0,2,,,,
EARN,None,0.0,,0.0,1,,,,
FERTIL,None,0.0,,0.0,1,,,,
OPTIMIST,None,0.0,,0.0,1,,,,
AVGFAM,None,0.0,,0.0,1,,,,
HAPPEN,None,0.0,,0.0,18,,,,
NATDEBT,None,0.0,,0.0,1,,,,
ENVC,None,0.0,,0.0,1,,,,
POPPROB,None,0.0,,0.0,1,,,,
FTRWORRY,None,0.0,,0.0,6,,,,
ELDCARE,None,0.0,,0.0,1,,,,
ELDFINANCEF,None,0.0,,0.0,2,,,,
GOVPRIO,None,0.0,,0.0,15,,,,
WRKTRN,None,0.0,,0.0,2,,,,
JOBSECURITY,None,0.0,,0.0,1,,,,
JOBBENEFITS,None,0.0,,0.0,1,,,,
AUTOWKPLC,None,0.0,,0.0,1,,,,
ROBWRK,None,0.0,,0.0,2,,,,
AUTOLKLY,None,0.0,,0.0,1,,,,
ROBIMPACT,None,0.0,,0.0,2,,,,
LEGALIMG,None,0.0,,0.0,1,,,,
FUTRCLASS,None,0.0,,0.0,3,,,,
ETHNCMAJMOD,None,0.0,,0.0,1,,,,
AGEMAJ,None,0.0,,0.0,1,,,,
INTRMAR,None,0.0,,0.0,1,,,,
SSMONEY,None,0.0,,0.0,1,,,,
SSCUT,None,0.0,,0.0,1,,,,
FUTR_ABR,None,0.0,,0.0,1,,,,
FUTR_DIV,None,0.0,,0.0,1,,,,
FUTR_,None,0.0,,0.0,2,,,,
SOLVPROB,None,0.0,,0.0,9,,,,
PAST,None,0.0,,0.0,1,,,,
FUTURE,None,0.0,,0.0,1,,,,
CONF,None,0.0,,0.0,8,,,,
POLICY,None,0.0,,0.0,4,,,,
RQ,None,0.0,,0.0,45,,,,
P,None,0.0,,0.0,57,,,,
Q,None,0.0,,0.0,8,,,,
PO,None,0.0,,0.0,4,,,,
RACESURV,None,0.0,,0.0,101,,,,
ADMISSION,None,0.0,,0.0,8,,,,
RACATTN,None,0.0,,0.0,1,,,,
IDIMPORT,None,0.0,,0.0,5,,,,
NEWS_PLATFORM,None,0.0,,0.0,2,,,,
NEWSPREFV,None,0.0,,0.0,1,,,,
SOURCESKEP,None,0.0,,0.0,5,,,,
INFOCONFUSE,None,0.0,,0.0,5,,,,
INFOKNOW,None,0.0,,0.0,5,,,,
INFOOWN,None,0.0,,0.0,5,,,,
MEDIALOYAL,None,0.0,,0.0,1,,,,
LEAD,None,0.0,,0.0,1,,,,
SEEK,None,0.0,,0.0,1,,,,
INFORESTRICT,None,0.0,,0.0,5,,,,
INFOWHY,None,0.0,,0.0,4,,,,
INFOCREATE,None,0.0,,0.0,5,,,,
MADEUPOFT,None,0.0,,0.0,1,,,,
MADEUPSHARE,None,0.0,,0.0,2,,,,
MADEUPSHAREWHY,None,0.0,,0.0,1,,,,
MADEUPTOPIC,None,0.0,,0.0,6,,,,
MADEUPLEVEL,None,0.0,,0.0,2,,,,
MADEUPRES,None,0.0,,0.0,5,,,,
MADEUPIMP,None,0.0,,0.0,5,,,,
MADEUPDIS,None,0.0,,0.0,1,,,,
DISAVOID,None,0.0,,0.0,1,,,,
SMSHARER,None,0.0,,0.0,1,,,,
SMLIKES,None,0.0,,0.0,6,,,,
SMSHARE,None,0.0,,0.0,1,,,,
MADEUPSMCLICK,None,0.0,,0.0,1,,,,
MADEUPSMFOL,None,0.0,,0.0,2,,,,
ONLINESOURCE,None,0.0,,0.0,1,,,,
DIGWDOG,None,0.0,,0.0,1,,,,
NEWSPROB,None,0.0,,0.0,5,,,,
VIDOFT,None,0.0,,0.0,1,,,,
MADEUPSOLVE,None,0.0,,0.0,1,,,,
INFOCHAL,None,0.0,,0.0,5,,,,
RESTRICTWHO,None,0.0,,0.0,1,,,,
ACCCHECK,None,0.0,,0.0,1,,,,
FCFAIR,None,0.0,,0.0,1,,,,
WATCHDOG,None,0.0,,0.0,2,,,,
SNSUSE,None,0.0,,0.0,1,,,,
SOCMEDIAUSE,None,0.0,,0.0,4,,,,
ELECTFTGSNSINT,None,0.0,,0.0,1,,,,
TALKDISASNSINT,None,0.0,,0.0,1,,,,
TALKCMNSNSINT,None,0.0,,0.0,1,,,,
SECUR,None,0.0,,0.0,1,,,,
PRIVACYNEWS,None,0.0,,0.0,1,,,,
HOMEASSIST,None,0.0,,0.0,6,,,,
HOMEIOT,None,0.0,,0.0,1,,,,
FITTRACK,None,0.0,,0.0,1,,,,
LOYALTY,None,0.0,,0.0,1,,,,
DNATEST,None,0.0,,0.0,2,,,,
TRACKCO,None,0.0,,0.0,2,,,,
CONCERNCO,None,0.0,,0.0,1,,,,
BENEFITCO,None,0.0,,0.0,1,,,,
CONTROLCO,None,0.0,,0.0,1,,,,
UNDERSTANDCO,None,0.0,,0.0,1,,,,
POSNEGCO,None,0.0,,0.0,1,,,,
ANONYMOUS,None,0.0,,0.0,2,,,,
TRACKGOV,None,0.0,,0.0,2,,,,
CONCERNGOV,None,0.0,,0.0,1,,,,
BENEFITGOV,None,0.0,,0.0,1,,,,
CONTROLGOV,None,0.0,,0.0,1,,,,
UNDERSTANDGOV,None,0.0,,0.0,1,,,,
POSNEGGOV,None,0.0,,0.0,1,,,,
CONCERNGRP,None,0.0,,0.0,6,,,,
CONTROLGRP,None,0.0,,0.0,6,,,,
PRIVACYREG,None,0.0,,0.0,1,,,,
GOVREGV,None,0.0,,0.0,2,,,,
SHARE,None,0.0,,0.0,1,,,,
PWMAN,None,0.0,,0.0,2,,,,
SMARTPHONE,None,0.0,,0.0,1,,,,
SMARTAPP,None,0.0,,0.0,1,,,,
PUBLICDATA,None,0.0,,0.0,1,,,,
RTBF,None,0.0,,0.0,4,,,,
RTD,None,0.0,,0.0,4,,,,
PROFILE,None,0.0,,0.0,2,,,,
DATAUSE,None,0.0,,0.0,6,,,,
FACE,None,0.0,,0.0,11,,,,
DB,None,0.0,,0.0,3,,,,
FAMSURV,None,0.0,,0.0,94,,,,
MOTHER,None,0.0,,0.0,1,,,,
FATHER,None,0.0,,0.0,1,,,,
SIB,None,0.0,,0.0,1,,,,
REMARR,None,0.0,,0.0,1,,,,
ENG,None,0.0,,0.0,1,,,,
LWPT,None,0.0,,0.0,1,,,,
ADKIDS,None,0.0,,0.0,1,,,,
PAR,None,0.0,,0.0,4,,,,
ROMRELDUR,None,0.0,,0.0,1,,,,
MARRDUR,None,0.0,,0.0,1,,,,
COHABDUR,None,0.0,,0.0,1,,,,
LWPSP,None,0.0,,0.0,1,,,,
ROMRELSER,None,0.0,,0.0,1,,,,
MARRYPREF,None,0.0,,0.0,2,,,,
HAVEKIDS,None,0.0,,0.0,1,,,,
DNA,None,0.0,,0.0,8,,,,
ORIENTATIONMOD,None,0.0,,0.0,1,,,,
FIN_SIT,None,0.0,,0.0,1,,,,
FIN_SITFUT,None,0.0,,0.0,1,,,,
FIN_SITMOST,None,0.0,,0.0,1,,,,
FIN_SITCOMM,None,0.0,,0.0,1,,,,
FIN_SITGROWUP,None,0.0,,0.0,1,,,,
JOBTRAIN,None,0.0,,0.0,1,,,,
GOVPRIORITY,None,0.0,,0.0,6,,,,
GOVRESP,None,0.0,,0.0,8,,,,
ECON,None,0.0,,0.0,31,,,,
INEQ,None,0.0,,0.0,36,,,,
ECIMP,None,0.0,,0.0,10,,,,
FINANCE,None,0.0,,0.0,3,,,,
DEBT,None,0.0,,0.0,5,,,,
BENEFITS,None,0.0,,0.0,3,,,,
WORKHARD,None,0.0,,0.0,1,,,,
POOREASY,None,0.0,,0.0,1,,,,
GAP,None,0.0,,0.0,104,,,,
LIFEFIFTY,None,0.0,,0.0,1,,,,
BIGHOUSES,None,0.0,,0.0,1,,,,
INSTN_CHR,None,0.0,,0.0,1,,,,
INSTN_CLGS,None,0.0,,0.0,1,,,,
INSTN_LGECRP,None,0.0,,0.0,1,,,,
INSTN_MSCENT,None,0.0,,0.0,1,,,,
INSTN_LBRUN,None,0.0,,0.0,1,,,,
INSTN_K,None,0.0,,0.0,1,,,,
INSTN_BNKS,None,0.0,,0.0,1,,,,
INSTN_TECHCMP,None,0.0,,0.0,1,,,,
DIFFPARTY,None,0.0,,0.0,1,,,,
GOVSIZE,None,0.0,,0.0,3,,,,
USEXCEPT,None,0.0,,0.0,1,,,,
WOMENOBS,None,0.0,,0.0,1,,,,
OPENIDEN,None,0.0,,0.0,1,,,,
VTRGHTPRIV,None,0.0,,0.0,1,,,,
ALLIES,None,0.0,,0.0,1,,,,
PEACESTR,None,0.0,,0.0,1,,,,
GOVWASTE,None,0.0,,0.0,1,,,,
COMPROMISEVAL,None,0.0,,0.0,1,,,,
POORASSIST,None,0.0,,0.0,1,,,,
SUPERPWR,None,0.0,,0.0,1,,,,
IL_IMM_PRI,None,0.0,,0.0,1,,,,
BILLION,None,0.0,,0.0,1,,,,
GLBLZE,None,0.0,,0.0,1,,,,
FP_AUTH,None,0.0,,0.0,1,,,,
GOVTHC,None,0.0,,0.0,1,,,,
SNGLPYER,None,0.0,,0.0,1,,,,
NOGOVTHC,None,0.0,,0.0,1,,,,
FREECOLL,None,0.0,,0.0,1,,,,
CRIM_SENT,None,0.0,,0.0,1,,,,
USMILSIZ,None,0.0,,0.0,1,,,,
PROG_RRETRO,None,0.0,,0.0,1,,,,
PROG_RNEED,None,0.0,,0.0,2,,,,
ELITEUNDMOD,None,0.0,,0.0,1,,,,
POLINTOL,None,0.0,,0.0,2,,,,
CANQUALPOL,None,0.0,,0.0,1,,,,
CANMTCHPOL,None,0.0,,0.0,1,,,,
SOCIETY_TRANS,None,0.0,,0.0,1,,,,
SOCIETY_RHIST,None,0.0,,0.0,1,,,,
SOCIETY_JBCLL,None,0.0,,0.0,1,,,,
SOCIETY_RELG,None,0.0,,0.0,1,,,,
SOCIETY_WHT,None,0.0,,0.0,1,,,,
SOCIETY_GUNS,None,0.0,,0.0,1,,,,
SOCIETY_SSM,None,0.0,,0.0,1,,,,
PROBOFF,None,0.0,,0.0,2,,,,
BUSPROFIT,None,0.0,,0.0,1,,,,
CNTRYFAIR,None,0.0,,0.0,1,,,,
GOVPROTCT,None,0.0,,0.0,1,,,,
GOVAID,None,0.0,,0.0,1,,,,
RELIG_GOV,None,0.0,,0.0,1,,,,
GOODEVIL,None,0.0,,0.0,1,,,,
PPLRESP,None,0.0,,0.0,1,,,,
ELECT_IMPT,None,0.0,,0.0,2,,,,
ELECT_CONF,None,0.0,,0.0,2,,,,
CANDEXP,None,0.0,,0.0,1,,,,
LEGALIMMIGAMT,None,0.0,,0.0,1,,,,
UNIMMIGCOMM,None,0.0,,0.0,1,,,,
GODMORALIMP,None,0.0,,0.0,1,,,,
REPRSNTREP,None,0.0,,0.0,1,,,,
REPRSNTDEM,None,0.0,,0.0,1,,,,
VTRS_VALS,None,0.0,,0.0,1,,,,
