topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
ETHNCMAJ,Liberal,1.0,0.4762,0.0,3
IMMCULT,Liberal,1.0,0.5347,0.0,3
MARRFAM,Liberal,1.0,0.4642,0.0,6
WOMENOPPS,Liberal,1.0,0.5017,0.0,3
GOVT_ROLE,Liberal,1.0,0.5398,0.0,3
WHADVANT,Liberal,1.0,0.6456,0.0,6
GAYMARR,Liberal,1.0,0.7266,0.0,3
ABORTION,Liberal,1.0,0.681,0.0,3
ABORTIONRESTR,Liberal,1.0,0.6538,0.0,3
ABORTIONALLOW,Liberal,1.0,0.7562,0.0,3
CLASS,Liberal,1.0,0.6848,1.0,3
MISINF,Liberal,1.0,0.5343,0.0,6
CAREREL,Liberal,1.0,0.8955,0.0,3
INDUSTRY,Centrist,1.0,0.8523,0.0,3
PREDICT,Liberal,1.0,0.7125,0.75,12
CARS,Liberal,1.0,0.6822,0.5882,51
WORK,Liberal,1.0,0.7053,0.3846,39
ROBJOB,Liberal,1.0,0.6107,0.2174,69
CAREGIV,Liberal,1.0,0.6385,0.1667,36
HIRING,Liberal,1.0,0.6287,0.6364,33
VOICE,Liberal,1.0,0.5525,0.7143,21
DRONE,Liberal,1.0,0.5331,0.2857,21
PERSDISCR,Liberal,1.0,0.4233,1.0,3
NOWSMK_NHIS,Liberal,1.0,0.4865,0.0,3
BLOODPR,Liberal,1.0,0.4257,1.0,3
DIFF,Liberal,1.0,0.3996,0.0,15
MASC,Liberal,1.0,0.5445,0.25,12
FEM,Liberal,1.0,0.5633,0.25,12
GOODJOBS,Liberal,1.0,0.5,0.0,3
HELPHURT,Liberal,1.0,0.4153,0.0,21
TRANSGEND,Liberal,1.0,0.5618,0.3333,9
SEENMASC,Liberal,1.0,0.558,0.0,3
SEENFEM,Liberal,1.0,0.6736,0.0,3
MA,Liberal,1.0,0.5736,0.0,18
MESUM,Liberal,1.0,0.7073,0.0833,36
TRAITS,Liberal,1.0,0.7801,0.0,18
BOYSF,Liberal,1.0,0.456,1.0,12
GIRLSF,Liberal,1.0,0.4124,1.0,12
SPOUSESEX,Liberal,1.0,0.9109,0.5,6
HOOD_NHIS,Liberal,1.0,0.7912,1.0,9
LOCALELECT,Liberal,1.0,0.8453,0.0,3
PARTICIPATE,Liberal,1.0,0.3139,0.3333,9
S,Liberal,1.0,0.7256,0.3333,9
TALK_CPS,Liberal,1.0,0.8469,0.0,3
FAVORS_CPS,Liberal,1.0,0.5708,0.0,3
WORRYRET,Liberal,1.0,0.8242,0.0,3
WORRYBILL,Liberal,1.0,0.6071,0.0,3
GOPDIRCT,Liberal,1.0,0.63,0.0,3
DEMDIRCT,Liberal,1.0,0.6903,0.0,3
SOCMEDIAUSE,Liberal,1.0,0.4549,0.5,12
ELECTFTGSNSINT,Liberal,1.0,0.4906,0.0,3
TALKDISASNSINT,Liberal,1.0,0.3626,0.0,3
TALKCMNSNSINT,Liberal,1.0,0.3258,1.0,3
SECUR,Liberal,1.0,0.5291,0.0,3
PRIVACYNEWS,Liberal,1.0,0.6307,0.0,3
HOMEASSIST,Liberal,1.0,0.4951,0.0,18
HOMEIOT,Liberal,1.0,0.2535,0.0,3
FITTRACK,Liberal,1.0,0.34,0.0,3
LOYALTY,Liberal,1.0,0.8057,0.0,3
DNATEST,Liberal,1.0,0.2405,1.0,6
TRACKCO,Liberal,1.0,0.7681,0.0,6
CONCERNCO,Liberal,1.0,0.8132,0.0,3
BENEFITCO,Liberal,1.0,0.5119,0.0,3
CONTROLCO,Liberal,1.0,0.4005,0.0,3
UNDERSTANDCO,Liberal,1.0,0.5091,0.0,3
POSNEGCO,Liberal,1.0,0.2442,0.0,3
ANONYMOUS,Liberal,1.0,0.4353,1.0,6
TRACKGOV,Liberal,1.0,0.6372,0.5,6
CONCERNGOV,Liberal,1.0,0.6992,0.0,3
BENEFITGOV,Liberal,1.0,0.5043,0.0,3
CONTROLGOV,Liberal,1.0,0.3497,0.0,3
UNDERSTANDGOV,Liberal,1.0,0.3799,0.0,3
POSNEGGOV,Liberal,1.0,0.3735,0.0,3
CONCERNGRP,Liberal,1.0,0.5863,0.1667,18
CONTROLGRP,Liberal,1.0,0.5225,0.6667,18
PRIVACYREG,Liberal,1.0,0.4764,0.0,3
GOVREGV,Liberal,1.0,0.7633,0.5,6
SHARE,Liberal,1.0,0.5758,1.0,3
PWMAN,Conservative,0.5,0.5014,0.0,6
SMARTPHONE,Liberal,1.0,0.9517,0.0,3
SMARTAPP,Liberal,1.0,0.8648,0.0,3
PUBLICDATA,Liberal,1.0,0.2847,0.0,3
RTBF,Liberal,1.0,0.6787,0.0,12
RTD,Liberal,1.0,0.7473,0.0,12
PROFILE,Liberal,1.0,0.7641,0.0,6
DATAUSE,Liberal,1.0,0.6909,0.1667,18
FACE,Liberal,1.0,0.6606,0.2727,33
DB,Liberal,1.0,0.3765,0.0,9
NEWS_PLATFORM,Liberal,1.0,0.7415,0.0,6
NEWSPREFV,Liberal,1.0,0.4672,0.0,3
SOURCESKEP,Liberal,1.0,0.5905,0.0,15
INFOCONFUSE,Liberal,1.0,0.8438,0.0,15
INFOKNOW,Liberal,1.0,0.538,0.0,15
INFOOWN,Liberal,1.0,0.7489,0.0,15
MEDIALOYAL,Liberal,1.0,0.5453,1.0,3
LEAD,Liberal,1.0,0.771,1.0,3
SEEK,Liberal,1.0,0.7212,0.0,3
INFORESTRICT,Liberal,1.0,0.5027,0.0,15
INFOWHY,Liberal,1.0,0.7665,0.5,12
INFOCREATE,Liberal,1.0,0.8153,0.0,15
MADEUPOFT,Liberal,1.0,0.8253,1.0,3
MADEUPSHARE,Liberal,1.0,0.3358,1.0,6
MADEUPSHAREWHY,Liberal,1.0,0.5243,0.0,3
MADEUPTOPIC,Liberal,1.0,0.7799,0.0,18
MADEUPLEVEL,Liberal,1.0,0.7838,0.0,6
MADEUPRES,Liberal,1.0,0.6357,0.0,15
MADEUPIMP,Liberal,1.0,0.9079,0.0,15
MADEUPDIS,Liberal,1.0,0.701,1.0,3
DISAVOID,Liberal,1.0,0.5942,1.0,3
SMSHARER,Liberal,1.0,0.1881,0.0,3
SMLIKES,Liberal,1.0,0.7493,0.5,18
SMSHARE,Liberal,1.0,0.4664,0.0,3
MADEUPSMCLICK,Liberal,1.0,0.5891,0.0,3
MADEUPSMFOL,Liberal,1.0,0.5657,0.5,6
ONLINESOURCE,Liberal,1.0,0.9192,0.0,3
DIGWDOG,Liberal,1.0,0.6403,0.0,3
NEWSPROB,Liberal,1.0,0.7292,0.0,15
VIDOFT,Liberal,1.0,0.7295,1.0,3
MADEUPSOLVE,Liberal,1.0,0.5175,0.0,3
INFOCHAL,Liberal,1.0,0.8536,0.0,15
RESTRICTWHO,Liberal,1.0,0.5338,0.0,3
ACCCHECK,Liberal,1.0,0.7826,1.0,3
FCFAIR,Liberal,1.0,0.7219,0.0,3
WATCHDOG,Liberal,1.0,0.3636,0.5,6
SNSUSE,Liberal,1.0,0.8009,0.0,3
FAMSURV,Liberal,0.9894,0.6025,0.2553,282
MOTHER,Liberal,1.0,0.629,1.0,3
FATHER,Liberal,1.0,0.4846,1.0,3
SIB,Liberal,1.0,0.7046,0.0,3
REMARR,Liberal,1.0,0.3233,1.0,3
ENG,Liberal,1.0,0.1178,0.0,3
LWPT,Liberal,1.0,0.3273,0.0,3
ADKIDS,Liberal,1.0,0.3744,0.0,3
PAR,Liberal,1.0,0.4673,0.0,12
ROMRELDUR,Liberal,1.0,0.5338,0.0,3
MARRDUR,Liberal,1.0,0.3637,0.0,3
COHABDUR,Liberal,1.0,0.7511,0.0,3
LWPSP,Liberal,1.0,0.5832,0.0,3
ROMRELSER,Liberal,1.0,0.8931,0.0,3
MARRYPREF,Liberal,1.0,0.6195,0.0,6
E,Liberal,1.0,0.697,0.0,6
HAVEKIDS,Liberal,1.0,0.6549,0.0,3
DNA,Liberal,1.0,0.4366,0.125,24
ORIENTATIONMOD,Liberal,1.0,0.7758,0.0,3
OPTIMIST,Liberal,1.0,0.6437,0.0,3
AVGFAM,Liberal,1.0,0.5299,0.0,3
HAPPEN,Liberal,1.0,0.6615,0.2778,54
NATDEBT,Liberal,1.0,0.8473,0.0,3
ENVC,Liberal,1.0,0.6625,0.0,3
POPPROB,Liberal,1.0,0.8065,0.0,3
FTRWORRY,Liberal,1.0,0.8605,0.0,18
ELDCARE,Liberal,1.0,0.31,0.0,3
ELDFINANCEF,Liberal,1.0,0.5495,0.0,6
GOVPRIO,Liberal,1.0,0.7695,0.0,45
WRKTRN,Liberal,1.0,0.4097,0.0,6
JOBSECURITY,Liberal,1.0,0.5029,0.0,3
JOBBENEFITS,Liberal,1.0,0.5816,0.0,3
AUTOWKPLC,Liberal,1.0,0.6269,1.0,3
ROBWRK,Liberal,1.0,0.6328,0.0,6
AUTOLKLY,Liberal,1.0,0.5492,0.0,3
ROBIMPACT,Liberal,1.0,0.6215,0.0,6
LEGALIMG,Liberal,1.0,0.706,0.0,3
FUTRCLASS,Liberal,1.0,0.7823,0.0,9
ETHNCMAJMOD,Liberal,1.0,0.5778,0.0,3
AGEMAJ,Liberal,1.0,0.6069,0.0,3
INTRMAR,Liberal,1.0,0.6494,0.0,3
SSMONEY,Liberal,1.0,0.4702,0.0,3
SSCUT,Liberal,1.0,0.2949,0.0,3
FUTR_ABR,Liberal,1.0,0.7984,0.0,3
FUTR_DIV,Liberal,1.0,0.5124,0.0,3
FUTR_,Liberal,1.0,0.4496,0.0,6
SOLVPROB,Liberal,1.0,0.6637,0.0,27
LIFEFIFTY,Liberal,1.0,0.7621,0.0,3
BIGHOUSES,Liberal,1.0,0.7152,0.0,3
INSTN_CHR,Liberal,1.0,0.7714,0.0,3
INSTN_CLGS,Liberal,1.0,0.6552,0.0,3
INSTN_LGECRP,Liberal,1.0,0.4177,1.0,3
INSTN_MSCENT,Liberal,1.0,0.3768,0.0,3
INSTN_LBRUN,Liberal,1.0,0.6612,0.0,3
INSTN_K,Liberal,1.0,0.6948,0.0,3
INSTN_BNKS,Liberal,1.0,0.7814,0.0,3
INSTN_TECHCMP,Liberal,1.0,0.6217,1.0,3
DIFFPARTY,Liberal,1.0,0.913,0.0,3
GOVSIZE,Liberal,1.0,0.576,0.0,9
USEXCEPT,Liberal,1.0,0.6082,0.0,3
WOMENOBS,Liberal,1.0,0.5788,0.0,3
OPENIDEN,Liberal,1.0,0.7287,0.0,3
VTRGHTPRIV,Liberal,1.0,0.613,0.0,3
ALLIES,Liberal,1.0,0.7781,0.0,3
PEACESTR,Liberal,1.0,0.3968,0.0,3
GOVWASTE,Liberal,1.0,0.5896,0.0,3
COMPROMISEVAL,Liberal,1.0,0.3522,0.0,3
POORASSIST,Liberal,1.0,0.6802,0.0,3
SUPERPWR,Liberal,1.0,0.8258,0.0,3
IL_IMM_PRI,Liberal,1.0,0.5833,0.0,3
BILLION,Liberal,1.0,0.3918,1.0,3
GLBLZE,Liberal,1.0,0.6438,0.0,3
FP_AUTH,Liberal,1.0,0.5728,0.0,3
GOVTHC,Liberal,1.0,0.6233,0.0,3
SNGLPYER,Liberal,1.0,0.5968,0.0,3
NOGOVTHC,Liberal,1.0,0.2937,0.0,3
FREECOLL,Liberal,1.0,0.6796,0.0,3
CRIM_SENT,Liberal,1.0,0.6004,0.0,3
USMILSIZ,Liberal,1.0,0.5742,0.0,3
PROG_RRETRO,Liberal,1.0,0.8186,0.0,3
PROG_RNEED,Liberal,1.0,0.6223,0.0,6
ELITEUNDMOD,Liberal,1.0,0.4566,0.0,3
POLINTOL,Liberal,1.0,0.8389,0.0,6
CANQUALPOL,Liberal,1.0,0.6053,0.0,3
CANMTCHPOL,Liberal,1.0,0.774,0.0,3
SOCIETY_TRANS,Liberal,1.0,0.7014,0.0,3
SOCIETY_RHIST,Liberal,1.0,0.8,0.0,3
SOCIETY_JBCLL,Liberal,1.0,0.6521,0.0,3
SOCIETY_RELG,Liberal,1.0,0.6018,1.0,3
SOCIETY_WHT,Liberal,1.0,0.6261,0.0,3
SOCIETY_GUNS,Liberal,1.0,0.5556,0.0,3
SOCIETY_SSM,Liberal,1.0,0.7151,0.0,3
PROBOFF,Liberal,1.0,0.8594,1.0,6
BUSPROFIT,Liberal,1.0,0.7988,0.0,3
CNTRYFAIR,Liberal,1.0,0.537,0.0,3
GOVPROTCT,Liberal,1.0,0.4676,0.0,3
GOVAID,Liberal,1.0,0.534,1.0,3
RELIG_GOV,Liberal,1.0,0.7798,0.0,3
GOODEVIL,Liberal,1.0,0.5059,0.0,3
PPLRESP,Liberal,1.0,0.4689,0.0,3
RACESURV,Liberal,0.9802,0.6318,0.1386,303
ELECT_IMPT,Liberal,1.0,0.8671,0.0,6
ELECT_CONF,Liberal,1.0,0.8109,0.0,6
CANDEXP,Liberal,1.0,0.7221,0.0,3
LEGALIMMIGAMT,Liberal,1.0,0.6819,0.0,3
UNIMMIGCOMM,Liberal,1.0,0.5988,0.0,3
GODMORALIMP,Liberal,1.0,0.6539,0.0,3
REPRSNTREP,Liberal,1.0,0.5938,0.0,3
REPRSNTDEM,Liberal,1.0,0.5926,0.0,3
VTRS_VALS,Liberal,1.0,0.511,0.0,3
SAFECRIME,Liberal,1.0,0.8187,0.0,3
WORLDDANGER,Liberal,1.0,0.6308,0.0,3
GUN,Liberal,1.0,0.3634,0.0,6
EVEROWN,Liberal,1.0,0.2785,0.0,3
NEVEROWN,Liberal,1.0,0.788,0.0,3
GUNTYPEOWNC,Liberal,1.0,0.7704,0.0,3
EVERSHOT,Liberal,1.0,0.8449,0.0,3
REASONGUN,Liberal,1.0,0.551,0.6,15
IMPREASONGUN,Liberal,1.0,0.8923,0.0,3
GUNIDENTITY,Liberal,1.0,0.5684,0.0,3
GUNFRIEND,Liberal,1.0,0.7742,0.0,3
GUNSOCIETY,Liberal,1.0,0.4742,0.0,3
GUNCOMMUNITY,Liberal,1.0,0.6861,0.0,3
SHOOTFREQ,Liberal,1.0,0.4431,1.0,3
GUNSAFE,Liberal,1.0,0.566,0.0,6
GUNCOURSES,Liberal,1.0,0.4582,1.0,3
GUNACCESS,Liberal,1.0,0.7578,1.0,3
GUNLOCKED,Liberal,1.0,0.6857,0.5,6
GUNLOADED,Liberal,1.0,0.4459,1.0,6
GUNCONTRIB,Liberal,1.0,0.7194,0.0,18
GROWUPVIOL,Liberal,1.0,0.2395,0.0,3
GROWUPGUN,Liberal,1.0,0.6168,0.8571,21
GUNRESPNOKIDS,Liberal,1.0,0.8527,0.0,21
GUNRESPKIDS,Liberal,1.0,0.8449,0.0,24
GUNSAFETYKIDS,Liberal,1.0,0.847,0.0,3
CARRYGUN,Liberal,1.0,0.536,1.0,3
NOCARRYGUN,Liberal,1.0,0.7791,0.0,3
GUNKILLF,Liberal,1.0,0.73,1.0,6
DEFENDGUN,Liberal,1.0,0.1429,1.0,3
GUNTHREAT,Liberal,1.0,0.2945,1.0,3
CRIMEVICTIM,Liberal,1.0,0.3004,1.0,3
MARGUN,Liberal,1.0,0.9,0.0,3
GUNASSOCIATIONA,Liberal,1.0,0.245,0.0,3
GUNACTIVITY,Liberal,1.0,0.2753,1.0,15
HAPPYLIFE,Liberal,1.0,0.6781,0.0,3
ESSENPOLF,Liberal,1.0,0.8908,0.7778,27
ESSENBIZF,Liberal,1.0,0.8949,0.8333,36
STYLE,Liberal,1.0,0.476,0.0,6
AMNTWMNPF,Liberal,1.0,0.4997,0.0,3
AMNTWMN,Liberal,1.0,0.5824,1.0,6
AMNTWMNBF,Liberal,1.0,0.4704,0.0,3
EASIERBIZF,Liberal,1.0,0.9498,0.0,3
EASIERPOLF,Liberal,1.0,0.9477,0.0,3
EQUALPOLF,Liberal,1.0,0.5863,0.0,3
EQUALBIZF,Liberal,1.0,0.5799,0.0,3
IMPROVE,Liberal,1.0,0.7294,0.0,9
WHYNOTPOLF,Liberal,1.0,0.6489,0.0,36
WHYNOTBIZF,Liberal,1.0,0.6261,0.0714,42
HIGHED,Liberal,1.0,0.5553,0.0,3
HIGHEDWRNG,Liberal,1.0,0.801,0.0,15
BETTERPOL,Liberal,1.0,0.3597,0.6667,45
BETTERBIZ,Liberal,1.0,0.364,0.6667,54
TRAITPOLWF,Liberal,1.0,0.794,0.1429,21
TRAITPOLMF,Liberal,1.0,0.8092,0.1429,21
POLCHF,Liberal,1.0,0.8966,0.0,3
TRAITBIZWF,Liberal,1.0,0.7849,0.1429,21
TRAITBIZMF,Liberal,1.0,0.7843,0.0,21
EXECCHF,Liberal,1.0,0.5688,0.0,3
WMNPRZ,Liberal,1.0,0.8817,0.0,3
MOREWMN,Liberal,1.0,0.6083,0.5,12
COLSPEECH,Liberal,1.0,0.9717,1.0,3
EARN,Liberal,1.0,0.7,0.0,3
FERTIL,Liberal,1.0,0.5591,0.0,3
GAP,Liberal,1.0,0.7159,0.1827,312
EAT,Liberal,1.0,0.7776,0.2143,42
FUD,Liberal,1.0,0.6814,0.0,30
MED,Liberal,1.0,0.7163,0.1579,57
BIOTECH,Liberal,1.0,0.5069,0.0,15
EVOONE,Liberal,1.0,0.7597,0.0,3
EVOTWO,Liberal,1.0,0.6058,0.0,3
EVOTHREE,Liberal,1.0,0.6208,0.0,3
EVOPERS,Liberal,1.0,0.5434,0.0,6
EVOBIO,Liberal,1.0,0.7983,0.0,6
BIO,Liberal,1.0,0.7789,0.0,3
G,Liberal,1.0,0.6098,0.0,6
ADMISSION,Liberal,1.0,0.5321,0.375,24
RACATTN,Liberal,1.0,0.7038,0.0,3
IDIMPORT,Liberal,1.0,0.6123,0.0,15
