topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat
NOCARRYGUN,Republican,1.0,0.9365,0.0,1,0.0061,0.0,0.0005,Economic
GUNKILLF,Democrat,0.5,0.7172,0.5,2,0.001,0.0008,0.0011,Legal
DEFENDGUN,Moderate,1.0,0.5125,1.0,1,0.0071,0.0023,0.0159,Legal
GUNTHREAT,Moderate,1.0,0.5377,0.0,1,0.0013,0.0001,0.003,Legal
CRIMEVICTIM,Independent,1.0,0.6325,0.0,1,0.0013,0.0,0.0124,Legal
MARGUN,Independent,1.0,0.7401,0.0,1,0.0001,0.0014,0.0044,Legal
GUNASSOCIATIONA,Republican,1.0,0.5426,0.0,1,0.0001,0.0013,0.0063,Legal
GUNACTIVITY,Republican,0.6,0.5687,0.0,5,0.0023,0.0056,0.0013,IT_System
CAREREL,Conservative,1.0,0.8821,0.0,1,0.0104,0.0019,0.021,Legal
INDUSTRY,Liberal,1.0,0.7689,0.0,1,0.0053,0.0024,0.0036,Economic
PREDICT,Liberal,0.5,0.8766,0.5,4,0.0042,0.001,0.004,Economic
CARS,Liberal,0.3529,0.8502,0.2353,17,0.0023,0.0014,0.0058,Legal
WORK,Independent,0.4615,0.829,0.0769,13,0.0016,0.001,0.0028,Legal
ROBJOB,Conservative,0.2174,0.8763,0.8261,23,0.0021,0.0009,0.0045,Legal
CAREGIV,Republican,0.3333,0.868,0.25,12,0.0022,0.0008,0.0071,Legal
HIRING,Democrat,0.3636,0.8808,0.5455,11,0.0021,0.0011,0.0044,Legal
VOICE,Independent,0.4286,0.8257,0.1429,7,0.0011,0.0002,0.0019,Legal
DRONE,Conservative,0.4286,0.7971,0.0,7,0.0008,0.0002,0.0039,Legal
PERSDISCR,Democrat,1.0,0.689,0.0,1,0.0069,0.0002,0.016,Legal
NOWSMK_NHIS,Moderate,1.0,0.693,0.0,1,0.0012,0.0025,0.0019,IT_System
BLOODPR,Republican,1.0,0.8432,0.0,1,0.0002,0.0011,0.0048,Legal
DIFF,Liberal,0.6,0.8436,0.0,5,0.0005,0.0008,0.0021,Legal
MASC,Democrat,0.75,0.785,0.0,4,0.0014,0.0004,0.0041,Legal
FEM,Democrat,0.25,0.7097,0.0,4,0.0011,0.0004,0.0031,Legal
GOODJOBS,Republican,1.0,0.8333,0.0,1,0.0006,0.0016,0.0011,IT_System
HELPHURT,Conservative,0.4286,0.7474,1.0,7,0.0029,0.0007,0.0058,Legal
TRANSGEND,Democrat,0.3333,0.8534,0.0,3,0.0007,0.0012,0.0021,Legal
SEENMASC,Republican,1.0,0.8415,0.0,1,0.0069,0.002,0.0094,Legal
SEENFEM,Republican,1.0,0.9015,0.0,1,0.0043,0.0022,0.0096,Legal
MA,Democrat,0.6667,0.8112,0.0,6,0.0044,0.0009,0.0097,Legal
MESUM,Conservative,0.3333,0.8157,0.0,12,0.0001,0.0004,0.0005,Legal
TRAITS,Liberal,0.3333,0.8115,0.0,6,0.0012,0.0006,0.0048,Legal
BOYSF,Democrat,0.5,0.7631,1.0,4,0.0016,0.0005,0.0023,Legal
GIRLSF,Liberal,0.75,0.7203,1.0,4,0.0016,0.0003,0.002,Legal
SPOUSESEX,Democrat,0.5,0.5194,0.0,2,0.0008,0.0002,0.0071,Legal
HOOD_NHIS,Conservative,0.3333,0.8602,0.0,3,0.0029,0.0028,0.0016,Economic
LOCALELECT,Moderate,1.0,0.8112,0.0,1,0.0023,0.0002,0.0021,Economic
PARTICIPATE,Democrat,0.3333,0.6058,0.0,3,0.0001,0.0005,0.0084,Legal
S,Liberal,0.6667,0.8183,0.3333,3,0.0114,0.0023,0.0214,Legal
TALK_CPS,Conservative,1.0,0.9235,0.0,1,0.0131,0.0053,0.0112,Economic
FAVORS_CPS,Republican,1.0,0.6459,0.0,1,0.0122,0.0051,0.0164,Legal
WORRYRET,Republican,1.0,0.9608,0.0,1,0.0022,0.0014,0.0039,Legal
WORRYBILL,Moderate,1.0,0.8822,0.0,1,0.0016,0.0013,0.0034,Legal
GOPDIRCT,Moderate,1.0,0.8657,0.0,1,0.001,0.0002,0.0035,Legal
DEMDIRCT,Independent,1.0,0.812,0.0,1,0.0005,0.0001,0.0039,Legal
SATLIFE,Liberal,0.4444,0.7915,0.0,9,0.0044,0.0005,0.0034,Economic
SOCTRUST,Moderate,1.0,0.7978,0.0,4,0.001,0.0012,0.0026,Legal
COMMYRS,Liberal,1.0,0.719,0.0,1,0.0073,0.0029,0.0129,Legal
COMATTACH,Independent,1.0,0.9021,0.0,1,0.0047,0.0027,0.0101,Legal
FEEL,Moderate,0.5,0.8235,0.0,4,0.0019,0.002,0.0011,IT_System
INC,Liberal,1.0,0.9715,0.0,1,0.0032,0.001,0.0068,Legal
INCFUTURE,Liberal,1.0,0.9234,0.0,1,0.0027,0.0,0.0057,Legal
COMMIMP,Independent,0.375,0.8473,0.0,8,0.0011,0.0024,0.0029,Legal
FAMNEAR,Liberal,1.0,0.8699,0.0,1,0.0028,0.0021,0.0058,Legal
SUCCESSIMP,Democrat,0.25,0.6337,0.0,4,0.0023,0.0008,0.0065,Legal
FEDSHARE,Democrat,0.3333,0.9085,0.0,3,0.0006,0.0028,0.0019,IT_System
LOCALPROB,Democrat,0.4545,0.8515,0.0,11,0.0012,0.0008,0.0047,Legal
LOCALPROBL_F,Democrat,1.0,0.9215,0.0,1,0.0011,0.0011,0.0053,Legal
LOCALPROBM_F,Democrat,1.0,0.9222,0.0,1,0.0009,0.0008,0.0025,Legal
JOBSFUTURE,Conservative,1.0,0.8557,0.0,1,0.001,0.0006,0.0032,Legal
HARASS,Liberal,0.2632,0.8299,0.8421,19,0.0016,0.0005,0.0044,Legal
GROWUPNEAR,Conservative,1.0,0.7665,0.0,1,0.0016,0.0001,0.008,Legal
LIFELOC,Republican,1.0,0.9324,0.0,1,0.0001,0.0009,0.0019,Legal
VALUEURBAN,Independent,1.0,0.8994,0.0,1,0.0037,0.0009,0.0052,Legal
VALUESUBURB,Independent,1.0,0.8312,0.0,1,0.0048,0.0018,0.0052,Legal
VALUERURAL,Democrat,1.0,0.8819,0.0,1,0.0042,0.0019,0.0047,Legal
NEIGHKNOW,Republican,1.0,0.823,0.0,1,0.0025,0.0007,0.0018,Economic
NEIGHINTER,Conservative,0.75,0.5992,0.0,4,0.0106,0.0025,0.0117,Legal
NEIGHKEYS,Moderate,1.0,0.7209,0.0,1,0.0006,0.0004,0.0051,Legal
NEIGHKIDS,Moderate,1.0,0.8514,0.0,1,0.0007,0.0008,0.0022,Legal
NEIGHSAME,Democrat,0.3333,0.8974,0.0,3,0.0049,0.0016,0.0039,Economic
IMMCOMM,Republican,1.0,0.8902,0.0,1,0.0013,0.0007,0.0055,Legal
IMMIMPACT,Independent,1.0,0.9044,0.0,1,0.0016,0.004,0.0037,IT_System
GROWUPUSR,Democrat,1.0,0.909,0.0,1,0.0002,0.0045,0.0054,Legal
COMTYPE,Democrat,1.0,0.8834,0.0,1,0.0003,0.0031,0.0031,Legal
CITYSIZE,Independent,1.0,0.9928,0.0,1,0.0005,0.0026,0.0005,IT_System
SUBURBNEAR,Independent,1.0,0.9102,0.0,1,0.0011,0.0004,0.0008,Economic
PROBURBAN,Moderate,1.0,0.861,0.0,1,0.0039,0.0015,0.0065,Legal
PROBSUBURB,Moderate,1.0,0.8303,0.0,1,0.0045,0.0016,0.0053,Legal
PROBRURAL,Democrat,1.0,0.869,0.0,1,0.005,0.0021,0.0072,Legal
WANTMOVE,Democrat,1.0,0.8942,0.0,1,0.0047,0.0022,0.0042,Economic
WILLMOVE,Moderate,1.0,0.9776,0.0,1,0.0028,0.0022,0.0035,Legal
MOVEURBAN,Moderate,1.0,0.9499,0.0,1,0.0036,0.0005,0.0012,Economic
MOVESUBURB,Independent,1.0,0.9636,0.0,1,0.0039,0.0001,0.0009,Economic
MOVERURAL,Independent,1.0,0.9521,0.0,1,0.0036,0.0003,0.0007,Economic
ETHNCMAJ,Liberal,1.0,0.7741,1.0,1,0.0022,0.0016,0.004,Legal
IMMCULT,Independent,1.0,0.9958,0.0,1,0.0001,0.0,0.0001,Economic
MARRFAM,Independent,0.5,0.944,0.0,2,0.0002,0.0004,0.0007,Legal
ECONFAIR,Conservative,1.0,0.815,0.0,3,0.0005,0.0007,0.0006,IT_System
WOMENOPPS,Independent,1.0,0.9648,0.0,1,0.0,0.0002,0.0001,IT_System
GOVT_ROLE,Independent,1.0,0.9331,0.0,1,0.0002,0.0002,0.0003,Legal
WHADVANT,Moderate,1.0,0.9739,0.0,2,0.0037,0.0004,0.0074,Legal
GAYMARR,Independent,1.0,0.9546,0.0,1,0.0022,0.0001,0.0062,Legal
ABORTION,Independent,1.0,0.9148,0.0,1,0.0014,0.0039,0.0,IT_System
ABORTIONRESTR,Democrat,1.0,0.8936,0.0,1,0.0001,0.0,0.0003,Legal
ABORTIONALLOW,Republican,1.0,0.8334,0.0,1,0.0008,0.0007,0.0007,Economic
CLASS,Liberal,1.0,0.8753,0.0,1,0.0007,0.0009,0.0012,Legal
MISINF,Conservative,0.5,0.9054,0.0,2,0.0001,0.0004,0.0001,IT_System
SC,Republican,0.4583,0.7494,0.0,24,0.0013,0.0009,0.0037,Legal
EAT,Republican,0.3571,0.8204,0.1429,14,0.0018,0.0009,0.0015,Economic
FUD,Conservative,0.4,0.8661,0.0,10,0.0028,0.0009,0.0037,Legal
MED,Liberal,0.3158,0.8079,0.4211,19,0.0016,0.0009,0.0019,Legal
BIOTECH,Liberal,0.6,0.8195,0.0,5,0.0028,0.0004,0.0012,Economic
EVOONE,Republican,1.0,0.7936,0.0,1,0.0,0.0001,0.0,IT_System
EVOTWO,Republican,1.0,0.931,0.0,1,0.001,0.0019,0.0023,Legal
EVOTHREE,Republican,1.0,0.8799,0.0,1,0.0001,0.0,0.0003,Legal
EVOPERS,Moderate,0.5,0.8493,0.5,2,0.0003,0.0005,0.0005,IT_System
EVOBIO,Conservative,0.5,0.7416,0.0,2,0.0008,0.0002,0.0008,Economic
BIO,Moderate,1.0,0.8726,0.0,1,0.001,0.0044,0.0018,IT_System
G,Independent,0.5,0.8235,0.5,2,0.004,0.0031,0.0041,Legal
HAPPYLIFE,Republican,1.0,0.8467,0.0,1,0.0016,0.0009,0.0004,Economic
ESSENPOLF,Conservative,0.3333,0.6275,0.0,9,0.0014,0.0005,0.0038,Legal
ESSENBIZF,Republican,0.3333,0.6257,0.0833,12,0.0008,0.0014,0.0023,Legal
STYLE,Democrat,0.5,0.8258,0.5,2,0.0006,0.0021,0.0009,IT_System
AMNTWMNPF,Moderate,1.0,0.8159,0.0,1,0.0018,0.0002,0.0017,Economic
AMNTWMN,Conservative,0.5,0.8003,1.0,2,0.0004,0.0002,0.0011,Legal
AMNTWMNBF,Moderate,1.0,0.7738,0.0,1,0.0018,0.0008,0.0019,Legal
EASIERBIZF,Republican,1.0,0.8344,0.0,1,0.0031,0.0007,0.0024,Economic
EASIERPOLF,Republican,1.0,0.8522,0.0,1,0.0044,0.0004,0.0042,Economic
EQUALPOLF,Republican,1.0,0.9182,0.0,1,0.0001,0.0,0.0004,Legal
EQUALBIZF,Democrat,1.0,0.9415,0.0,1,0.0003,0.0,0.0007,Legal
IMPROVE,Conservative,0.3333,0.9278,0.0,3,0.0102,0.0006,0.0171,Legal
WHYNOTPOLF,Conservative,0.25,0.8674,0.5833,12,0.0023,0.0001,0.0066,Legal
WHYNOTBIZF,Liberal,0.3571,0.7659,0.9286,14,0.0029,0.0002,0.0056,Legal
HIGHED,Democrat,1.0,0.7935,0.0,1,0.0007,0.0007,0.0008,Legal
HIGHEDWRNG,Independent,0.4,0.9127,0.4,5,0.0011,0.0003,0.0077,Legal
BETTERPOL,Liberal,0.3333,0.7133,0.2,15,0.003,0.001,0.0061,Legal
BETTERBIZ,Democrat,0.4444,0.6889,0.0,18,0.0018,0.0009,0.0038,Legal
TRAITPOLWF,Democrat,0.2857,0.8203,0.0,7,0.0016,0.0003,0.0028,Legal
TRAITPOLMF,Democrat,0.2857,0.7761,0.5714,7,0.0012,0.0002,0.0023,Legal
POLCHF,Independent,1.0,0.7734,0.0,1,0.0003,0.0012,0.0017,Legal
TRAITBIZWF,Democrat,0.4286,0.816,0.0,7,0.0011,0.0002,0.0022,Legal
TRAITBIZMF,Conservative,0.2857,0.7703,0.4286,7,0.0009,0.0002,0.0019,Legal
EXECCHF,Republican,1.0,0.9253,0.0,1,0.0009,0.0009,0.0013,Legal
WMNPRZ,Republican,1.0,0.7242,0.0,1,0.0026,0.0006,0.0083,Legal
MOREWMN,Independent,0.5,0.8525,0.0,4,0.0013,0.0011,0.0027,Legal
COLSPEECH,Democrat,1.0,0.6475,0.0,1,0.0002,0.0002,0.0004,Legal
E,Conservative,0.5,0.8853,0.0,2,0.0011,0.0007,0.0023,Legal
EARN,Republican,1.0,0.8523,0.0,1,0.0014,0.0015,0.0008,IT_System
FERTIL,Liberal,1.0,0.7473,0.0,1,0.0001,0.0002,0.0008,Legal
OPTIMIST,Democrat,1.0,0.8874,0.0,1,0.0056,0.0046,0.0046,Economic
AVGFAM,Republican,1.0,0.8415,0.0,1,0.0008,0.0014,0.0013,IT_System
HAPPEN,Democrat,0.2778,0.8743,0.0,18,0.0027,0.0013,0.0026,Economic
NATDEBT,Republican,1.0,0.7008,0.0,1,0.0015,0.0005,0.0026,Legal
ENVC,Moderate,1.0,0.8982,0.0,1,0.0017,0.0018,0.0063,Legal
POPPROB,Republican,1.0,0.9635,0.0,1,0.0004,0.0023,0.0031,Legal
FTRWORRY,Conservative,0.3333,0.8224,0.0,6,0.0059,0.0014,0.01,Legal
ELDCARE,Conservative,1.0,0.7139,0.0,1,0.0006,0.0064,0.0008,IT_System
ELDFINANCEF,Independent,1.0,0.9303,0.0,2,0.0012,0.0001,0.0022,Legal
GOVPRIO,Conservative,0.2667,0.85,0.4667,15,0.0026,0.0004,0.0039,Legal
WRKTRN,Liberal,1.0,0.78,0.0,2,0.0024,0.0001,0.0035,Legal
JOBSECURITY,Democrat,1.0,0.8616,0.0,1,0.0004,0.0005,0.0011,Legal
JOBBENEFITS,Democrat,1.0,0.8809,0.0,1,0.0006,0.001,0.0007,IT_System
AUTOWKPLC,Moderate,1.0,0.9424,0.0,1,0.0013,0.0,0.0005,Economic
ROBWRK,Independent,0.5,0.8923,0.0,2,0.0052,0.0021,0.0062,Legal
AUTOLKLY,Democrat,1.0,0.8176,0.0,1,0.0079,0.0014,0.008,Legal
ROBIMPACT,Republican,1.0,0.7787,0.5,2,0.0001,0.0,0.0009,Legal
LEGALIMG,Liberal,1.0,0.8947,0.0,1,0.0006,0.0011,0.001,IT_System
FUTRCLASS,Republican,1.0,0.8996,0.0,3,0.0008,0.0006,0.0033,Legal
ETHNCMAJMOD,Liberal,1.0,0.7976,1.0,1,0.0133,0.0031,0.019,Legal
AGEMAJ,Republican,1.0,0.7567,1.0,1,0.0113,0.0027,0.0154,Legal
INTRMAR,Independent,1.0,0.8696,1.0,1,0.0115,0.0016,0.012,Legal
SSMONEY,Democrat,1.0,0.8294,1.0,1,0.0043,0.0002,0.0067,Legal
SSCUT,Independent,1.0,0.7631,1.0,1,0.0012,0.0,0.0021,Legal
FUTR_ABR,Republican,1.0,0.8477,0.0,1,0.003,0.0004,0.005,Legal
FUTR_DIV,Conservative,1.0,0.8306,0.0,1,0.0015,0.0002,0.0036,Legal
FUTR_,Democrat,0.5,0.8052,0.0,2,0.003,0.0005,0.0052,Legal
SOLVPROB,Democrat,0.3333,0.8831,0.0,9,0.0044,0.0001,0.0074,Legal
PAST,Moderate,1.0,0.723,0.0,1,0.0066,0.0013,0.0069,Legal
FUTURE,Independent,1.0,0.7155,0.0,1,0.0018,0.0005,0.0049,Legal
CONF,Conservative,0.375,0.8507,0.0,8,0.0037,0.0019,0.0102,Legal
POLICY,Conservative,0.5,0.7631,0.0,4,0.0005,0.0003,0.0008,Legal
RQ,Conservative,0.2889,0.8464,0.0667,45,0.0022,0.0008,0.003,Legal
P,Independent,0.2105,0.8398,0.0526,57,0.0021,0.0012,0.0038,Legal
Q,Moderate,0.5,0.8492,0.0,8,0.002,0.0012,0.0025,Legal
PO,Liberal,0.5,0.8781,0.25,4,0.0027,0.001,0.0086,Legal
RACESURV,Republican,0.2376,0.8098,0.2871,101,0.0045,0.0021,0.0068,Legal
ADMISSION,Democrat,0.75,0.7659,0.0,8,0.0001,0.0006,0.0032,Legal
RACATTN,Moderate,1.0,0.937,0.0,1,0.008,0.0001,0.0257,Legal
IDIMPORT,Liberal,1.0,0.8852,0.0,5,0.0065,0.0052,0.0147,Legal
NEWS_PLATFORM,Conservative,0.5,0.8908,0.5,2,0.0016,0.001,0.002,Legal
NEWSPREFV,Moderate,1.0,0.8348,0.0,1,0.003,0.0013,0.005,Legal
SOURCESKEP,Democrat,0.6,0.8395,0.0,5,0.0058,0.0022,0.0119,Legal
INFOCONFUSE,Democrat,0.4,0.7483,0.8,5,0.0036,0.0012,0.0051,Legal
INFOKNOW,Democrat,0.4,0.8986,0.4,5,0.0002,0.0001,0.0002,Legal
INFOOWN,Moderate,0.8,0.85,0.4,5,0.0002,0.0012,0.0006,IT_System
MEDIALOYAL,Republican,1.0,0.9998,0.0,1,0.0012,0.0001,0.0,Economic
LEAD,Liberal,1.0,0.8671,1.0,1,0.0029,0.0,0.0032,Legal
SEEK,Moderate,1.0,0.7177,0.0,1,0.001,0.0007,0.0003,Economic
INFORESTRICT,Republican,0.4,0.8161,0.4,5,0.0009,0.0003,0.0009,Economic
INFOWHY,Moderate,0.5,0.7247,0.0,4,0.0008,0.0023,0.0024,Legal
INFOCREATE,Democrat,0.6,0.8257,0.0,5,0.003,0.0029,0.0063,Legal
MADEUPOFT,Democrat,1.0,0.7658,0.0,1,0.0011,0.004,0.0034,IT_System
MADEUPSHARE,Conservative,0.5,0.7406,0.0,2,0.0013,0.0012,0.019,Legal
MADEUPSHAREWHY,Democrat,1.0,0.8422,0.0,1,0.002,0.001,0.0038,Legal
MADEUPTOPIC,Democrat,0.3333,0.8216,0.0,6,0.0062,0.0009,0.0105,Legal
MADEUPLEVEL,Democrat,0.5,0.8048,0.0,2,0.0044,0.0012,0.0102,Legal
MADEUPRES,Independent,0.4,0.8522,0.0,5,0.0007,0.0006,0.0021,Legal
MADEUPIMP,Moderate,1.0,0.8025,0.0,5,0.0045,0.0003,0.0065,Legal
MADEUPDIS,Moderate,1.0,0.8937,0.0,1,0.0026,0.0042,0.0065,Legal
DISAVOID,Moderate,1.0,0.9797,0.0,1,0.0,0.0008,0.0008,IT_System
SMSHARER,Democrat,1.0,0.4129,0.0,1,0.0088,0.0002,0.0031,Economic
SMLIKES,Moderate,0.5,0.8371,0.0,6,0.0019,0.0015,0.0035,Legal
SMSHARE,Democrat,1.0,0.7959,0.0,1,0.0138,0.002,0.0118,Economic
MADEUPSMCLICK,Conservative,1.0,0.9084,0.0,1,0.0086,0.0006,0.0089,Legal
MADEUPSMFOL,Conservative,0.5,0.8787,0.0,2,0.0012,0.0041,0.0004,IT_System
ONLINESOURCE,Moderate,1.0,0.8475,0.0,1,0.0029,0.0011,0.0036,Legal
DIGWDOG,Liberal,1.0,0.9416,1.0,1,0.0031,0.0009,0.0019,Economic
NEWSPROB,Democrat,0.4,0.8497,0.4,5,0.0047,0.0019,0.0053,Legal
VIDOFT,Democrat,1.0,0.891,0.0,1,0.0033,0.0014,0.0088,Legal
MADEUPSOLVE,Democrat,1.0,0.6872,0.0,1,0.0036,0.0011,0.0055,Legal
INFOCHAL,Moderate,0.6,0.7653,0.0,5,0.0033,0.0005,0.0067,Legal
RESTRICTWHO,Democrat,1.0,0.8509,0.0,1,0.0035,0.0011,0.0045,Legal
ACCCHECK,Conservative,1.0,0.8576,0.0,1,0.0021,0.0001,0.003,Legal
FCFAIR,Independent,1.0,0.9878,0.0,1,0.0019,0.001,0.0004,Economic
WATCHDOG,Conservative,0.5,0.7657,0.5,2,0.0005,0.0006,0.0004,IT_System
SNSUSE,Conservative,1.0,0.9188,0.0,1,0.0,0.0006,0.0109,Legal
SOCMEDIAUSE,Liberal,0.75,0.7462,0.0,4,0.0003,0.0008,0.0063,Legal
ELECTFTGSNSINT,Democrat,1.0,0.9325,1.0,1,0.0,0.0003,0.0009,Legal
TALKDISASNSINT,Moderate,1.0,0.6371,0.0,1,0.0035,0.0003,0.0018,Economic
TALKCMNSNSINT,Moderate,1.0,0.6971,0.0,1,0.0,0.0,0.0,Legal
SECUR,Independent,1.0,0.727,0.0,1,0.0105,0.0013,0.0062,Economic
PRIVACYNEWS,Conservative,1.0,0.9015,0.0,1,0.0071,0.0019,0.0172,Legal
HOMEASSIST,Liberal,0.6667,0.842,0.1667,6,0.0104,0.0013,0.0222,Legal
HOMEIOT,Moderate,1.0,0.7779,0.0,1,0.0064,0.0029,0.0183,Legal
FITTRACK,Liberal,1.0,0.7013,0.0,1,0.0004,0.0001,0.0038,Legal
LOYALTY,Liberal,1.0,0.9727,0.0,1,0.0002,0.0026,0.0005,IT_System
DNATEST,Liberal,1.0,0.6118,0.0,2,0.0018,0.0,0.0022,Legal
TRACKCO,Liberal,0.5,0.8694,0.0,2,0.0072,0.0014,0.0081,Legal
CONCERNCO,Republican,1.0,0.8552,0.0,1,0.0018,0.0017,0.0075,Legal
BENEFITCO,Democrat,1.0,0.782,0.0,1,0.0079,0.0006,0.0067,Economic
CONTROLCO,Liberal,1.0,0.7262,0.0,1,0.0058,0.0006,0.0132,Legal
UNDERSTANDCO,Liberal,1.0,0.8433,0.0,1,0.0082,0.0011,0.0129,Legal
POSNEGCO,Democrat,1.0,0.7852,0.0,1,0.0015,0.0019,0.0028,Legal
ANONYMOUS,Independent,0.5,0.8702,0.0,2,0.0043,0.0002,0.0099,Legal
TRACKGOV,Independent,0.5,0.9002,0.0,2,0.0083,0.0013,0.0076,Economic
CONCERNGOV,Republican,1.0,0.9079,0.0,1,0.0016,0.0025,0.0065,Legal
BENEFITGOV,Democrat,1.0,0.7713,0.0,1,0.0047,0.0005,0.0058,Legal
CONTROLGOV,Democrat,1.0,0.6703,0.0,1,0.0069,0.0003,0.014,Legal
UNDERSTANDGOV,Independent,1.0,0.7325,0.0,1,0.0087,0.0007,0.0189,Legal
POSNEGGOV,Liberal,1.0,0.8456,0.0,1,0.0003,0.0002,0.0029,Legal
CONCERNGRP,Democrat,0.6667,0.8105,0.0,6,0.0045,0.0006,0.0089,Legal
CONTROLGRP,Democrat,0.8333,0.8254,0.0,6,0.0039,0.0025,0.0063,Legal
PRIVACYREG,Moderate,1.0,0.8415,0.0,1,0.0133,0.0016,0.0264,Legal
GOVREGV,Liberal,0.5,0.7746,0.0,2,0.0013,0.0007,0.0023,Legal
SHARE,Independent,1.0,0.9357,0.0,1,0.0,0.0,0.0033,Legal
PWMAN,Conservative,0.5,0.7929,0.0,2,0.003,0.0006,0.0011,Economic
SMARTPHONE,Conservative,1.0,0.6222,0.0,1,0.0002,0.0002,0.0065,Legal
SMARTAPP,Conservative,1.0,0.8575,0.0,1,0.0014,0.0002,0.0022,Legal
PUBLICDATA,Democrat,1.0,0.708,0.0,1,0.0011,0.0002,0.0004,Economic
RTBF,Liberal,0.5,0.8032,0.5,4,0.0001,0.0002,0.0002,IT_System
RTD,Liberal,0.5,0.7238,1.0,4,0.0009,0.0004,0.0003,Economic
PROFILE,Conservative,1.0,0.8437,0.0,2,0.0052,0.0009,0.0084,Legal
DATAUSE,Democrat,0.5,0.9324,0.3333,6,0.0008,0.0002,0.0015,Legal
FACE,Moderate,0.3636,0.8589,0.0,11,0.0038,0.0006,0.0046,Legal
DB,Democrat,0.3333,0.6384,0.0,3,0.0015,0.0003,0.0006,Economic
FAMSURV,Moderate,0.2128,0.7559,0.0851,94,0.0027,0.0014,0.005,Legal
MOTHER,Democrat,1.0,0.9839,0.0,1,0.0006,0.0,0.005,Legal
FATHER,Liberal,1.0,0.9665,0.0,1,0.0046,0.0012,0.0125,Legal
SIB,Liberal,1.0,0.8255,0.0,1,0.0005,0.0019,0.0067,Legal
REMARR,Republican,1.0,0.7408,0.0,1,0.0017,0.0,0.007,Legal
ENG,Moderate,1.0,0.588,0.0,1,0.0019,0.0002,0.0097,Legal
LWPT,Independent,1.0,0.5967,0.0,1,0.0002,0.0029,0.0011,IT_System
ADKIDS,Moderate,1.0,0.8205,0.0,1,0.0003,0.0006,0.0039,Legal
PAR,Conservative,0.25,0.7819,0.0,4,0.0007,0.0009,0.0011,Legal
ROMRELDUR,Liberal,1.0,0.7392,0.0,1,0.0089,0.005,0.0126,Legal
MARRDUR,Liberal,1.0,0.5706,0.0,1,0.0126,0.0034,0.0126,Economic
COHABDUR,Democrat,1.0,0.9283,0.0,1,0.009,0.0017,0.011,Legal
LWPSP,Independent,1.0,0.9876,0.0,1,0.0052,0.0009,0.0082,Legal
ROMRELSER,Independent,1.0,0.7166,0.0,1,0.0036,0.0002,0.006,Legal
